Time,Winner,Nickname
00:00:00:000,Player7,Naruto
00:00:00:000,Player7,Naruto
00:00:00:633,Player8,Ben10
00:00:00:633,Player8,Ben10
00:00:02:100,Player9,Rayo
00:00:02:100,Player9,Rayo
00:00:03:367,Player8,Ben10
00:00:03:367,Player8,Ben10
00:00:03:933,Player6,Darwin
00:00:03:933,Player6,Darwin
00:00:04:100,Player8,Ben10
00:00:04:100,Player8,Ben10
00:00:04:133,Player5,Calamardo
00:00:04:133,Player5,Calamardo
00:00:04:167,Player8,Ben10
00:00:04:167,Player8,Ben10
00:00:04:200,Player6,Darwin
00:00:04:200,Player6,Darwin
00:00:04:567,Player8,Ben10
00:00:04:567,Player8,Ben10
00:00:04:600,Player6,Darwin
00:00:04:600,Player6,Darwin
00:00:04:700,Player7,Naruto
00:00:04:700,Player7,Naruto
00:00:04:733,Player6,Darwin
00:00:04:733,Player6,Darwin
00:00:05:000,Player3,Rick
00:00:05:000,Player3,Rick
00:00:05:467,Player6,Darwin
00:00:05:467,Player6,Darwin
00:00:05:500,Player3,Rick
00:00:05:500,Player3,Rick
00:00:05:633,Player6,Darwin
00:00:05:633,Player6,Darwin
00:00:06:200,Player5,Calamardo
00:00:06:200,Player5,Calamardo
00:00:07:400,Player7,Naruto
00:00:07:400,Player7,Naruto
00:00:07:500,Player5,Calamardo
00:00:07:500,Player5,Calamardo
00:00:08:333,Player7,Naruto
00:00:08:333,Player7,Naruto
00:00:09:700,Player5,Calamardo
00:00:09:700,Player5,Calamardo
00:00:10:300,Player7,Naruto
00:00:10:300,Player7,Naruto
00:00:10:633,Player5,Calamardo
00:00:10:633,Player5,Calamardo
00:00:13:300,Player7,Naruto
00:00:13:300,Player7,Naruto
00:00:13:633,Player5,Calamardo
00:00:13:633,Player5,Calamardo
00:00:13:967,Player1,Peter
00:00:13:967,Player1,Peter
00:00:14:000,Player5,Calamardo
00:00:14:000,Player5,Calamardo
00:00:14:100,Player7,Naruto
00:00:14:100,Player7,Naruto
00:00:14:533,Player5,Calamardo
00:00:14:533,Player5,Calamardo
00:00:14:600,Player7,Naruto
00:00:14:600,Player7,Naruto
00:00:18:467,Player3,Rick
00:00:18:467,Player3,Rick
00:00:21:067,Player5,Calamardo
00:00:21:067,Player5,Calamardo
00:00:21:200,Player6,Darwin
00:00:21:200,Player6,Darwin
00:00:21:500,Player7,Naruto
00:00:21:500,Player7,Naruto
00:00:26:700,Player3,Rick
00:00:26:700,Player3,Rick
00:00:26:767,Player7,Naruto
00:00:26:767,Player7,Naruto
00:00:28:933,Player3,Rick
00:00:28:933,Player3,Rick
00:00:29:100,Player7,Naruto
00:00:29:100,Player7,Naruto
00:00:29:567,Player3,Rick
00:00:29:567,Player3,Rick
00:00:37:800,Player7,Naruto
00:00:37:800,Player7,Naruto
00:00:38:300,Player1,Peter
00:00:38:300,Player1,Peter
00:00:42:967,Player8,Ben10
00:00:42:967,Player8,Ben10
