Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player5,Quico,None,None
00:00:00:000,Player5,Quico,Player6,Player6
00:00:03:033,Player7,Quico,None,None
00:00:03:033,Player7,Quico,Player6,Player6
00:00:03:133,Player4,Ben10,None,None
00:00:03:133,Player4,Ben10,Player7,Quico
00:00:03:367,Player8,Ben10,None,None
00:00:03:367,Player8,Ben10,Player4,Ben10
00:00:03:900,Player4,Ben10,None,None
00:00:03:900,Player4,Ben10,Player8,Ben10
00:00:04:033,Player8,Ben10,None,None
00:00:04:033,Player8,Ben10,Player4,Ben10
00:00:06:033,Player7,Quico,None,None
00:00:06:033,Player7,Quico,Player8,Ben10
00:00:06:100,Player1,Quico,None,None
00:00:06:100,Player1,Quico,Player2,Player2
00:00:06:267,Player2,Quico,None,None
00:00:06:267,Player2,Quico,Player7,Quico
00:00:06:633,Player1,Quico,None,None
00:00:06:633,Player1,Quico,Player5,Quico
00:00:06:800,Player5,Quico,None,None
00:00:06:800,Player5,Quico,Player2,Quico
00:00:06:933,Player1,Quico,None,None
00:00:06:933,Player1,Quico,Player5,Quico
00:00:09:067,Player4,Ben10,None,None
00:00:09:067,Player4,Ben10,Player6,Player6
00:00:09:200,Player2,Quico,None,None
00:00:09:200,Player2,Quico,Player1,Quico
00:00:09:333,Player7,Quico,None,None
00:00:09:333,Player7,Quico,Player2,Quico
00:00:09:467,Player6,Ben10,None,None
00:00:09:467,Player6,Ben10,Player4,Ben10
00:00:12:000,Player7,Quico,None,None
00:00:12:000,Player7,Quico,Player6,Ben10
00:00:12:100,Player6,Ben10,None,None
00:00:12:100,Player6,Ben10,Player7,Quico
00:00:20:000,Player3,Ben10,None,None
00:00:20:000,Player3,Ben10,Player6,Ben10
00:00:20:033,Player6,Ben10,None,None
00:00:20:033,Player6,Ben10,Player5,Quico
00:00:23:233,Player3,Ben10,None,None
00:00:23:233,Player3,Ben10,Player6,Ben10
00:00:24:100,Player2,Quico,None,None
00:00:24:100,Player2,Quico,Player6,Ben10
00:00:24:167,Player6,Ben10,None,None
00:00:24:167,Player6,Ben10,Player3,Ben10
00:00:24:967,Player2,Quico,None,None
00:00:24:967,Player2,Quico,Player6,Ben10
00:00:27:033,Player3,Ben10,None,None
00:00:27:033,Player3,Ben10,Player5,Quico
00:00:27:067,Player4,Ben10,None,None
00:00:27:067,Player4,Ben10,Player6,Ben10
00:00:27:300,Player3,Ben10,None,None
00:00:27:300,Player3,Ben10,Player5,Quico
00:00:30:033,Player6,Ben10,None,None
00:00:30:033,Player6,Ben10,Player1,Quico
00:00:30:167,Player4,Ben10,None,None
00:00:30:167,Player4,Ben10,Player8,Ben10
00:00:33:033,Player2,Quico,None,None
00:00:33:033,Player2,Quico,Player3,Ben10
00:00:33:233,Player6,Ben10,None,None
00:00:33:233,Player6,Ben10,Player5,Quico
00:00:35:567,Player5,Quico,None,None
00:00:35:567,Player5,Quico,Player6,Ben10
00:00:36:000,Player6,Ben10,None,None
00:00:36:000,Player6,Ben10,Player5,Quico
00:00:36:600,Player2,Quico,None,None
00:00:36:600,Player2,Quico,Player5,Quico
00:00:37:800,Player5,Quico,None,None
00:00:37:800,Player5,Quico,Player2,Quico
00:00:38:800,Player2,Quico,None,None
00:00:38:800,Player2,Quico,Player6,Ben10
00:00:41:700,Player5,Quico,None,None
00:00:41:700,Player5,Quico,Player3,Ben10
00:00:42:267,Player2,Quico,None,None
00:00:42:267,Player2,Quico,Player5,Quico
00:00:42:467,Player5,Quico,None,None
00:00:42:467,Player5,Quico,Player3,Ben10
00:00:43:767,Player2,Quico,None,None
00:00:43:767,Player2,Quico,Player6,Ben10
00:00:45:000,Player5,Quico,None,None
00:00:45:000,Player5,Quico,Player3,Ben10
00:00:45:367,Player2,Quico,None,None
00:00:45:367,Player2,Quico,Player6,Ben10
00:00:45:900,Player6,Ben10,None,None
00:00:45:900,Player6,Ben10,Player2,Quico
00:00:46:233,Player2,Quico,None,None
00:00:46:233,Player2,Quico,Player3,Ben10
00:00:54:067,Player3,Ben10,None,None
00:00:54:067,Player3,Ben10,Player2,Quico
