Time,Winner,Nickname
00:00:00:000,Player7,Naruto
00:00:00:000,Player7,Naruto
00:00:03:033,Player9,Gumball
00:00:03:033,Player9,Gumball
00:00:06:033,Player5,jake
00:00:06:033,Player5,jake
00:00:06:067,Player8,dulceprincesa
00:00:06:067,Player8,dulceprincesa
00:00:06:133,Player1,Mordecai
00:00:06:133,Player1,Mordecai
00:00:06:267,Player8,dulceprincesa
00:00:06:267,Player8,dulceprincesa
00:00:09:033,Player7,Naruto
00:00:09:033,Player7,Naruto
00:00:09:067,Player2,Finn
00:00:09:067,Player2,Finn
00:00:09:200,Player7,Naruto
00:00:09:200,Player7,Naruto
00:00:09:333,Player5,jake
00:00:09:333,Player5,jake
00:00:09:967,Player2,Finn
00:00:09:967,Player2,Finn
00:00:20:267,Player5,jake
00:00:20:267,Player5,jake
00:00:20:433,Player2,Finn
00:00:20:433,Player2,Finn
00:00:24:167,Player4,drdoof
00:00:24:167,Player4,drdoof
00:00:24:333,Player2,Finn
00:00:24:333,Player2,Finn
00:00:24:933,Player4,drdoof
00:00:24:933,Player4,drdoof
00:00:27:367,Player2,Finn
00:00:27:367,Player2,Finn
00:00:27:800,Player5,jake
00:00:27:800,Player5,jake
00:00:30:033,Player2,Finn
00:00:30:033,Player2,Finn
00:00:30:367,Player4,drdoof
00:00:30:367,Player4,drdoof
00:00:30:567,Player6,Rigby
00:00:30:567,Player6,Rigby
00:00:30:833,Player4,drdoof
00:00:30:833,Player4,drdoof
00:00:33:100,Player7,Naruto
00:00:33:100,Player7,Naruto
00:00:33:267,Player1,Mordecai
00:00:33:267,Player1,Mordecai
00:00:36:300,Player2,Finn
00:00:36:300,Player2,Finn
00:00:36:700,Player1,Mordecai
00:00:36:700,Player1,Mordecai
00:00:47:433,Player3,Gokú
00:00:47:433,Player3,Gokú
00:00:51:033,Player2,Finn
00:00:51:033,Player2,Finn
00:00:51:200,Player3,Gokú
00:00:51:200,Player3,Gokú
00:00:53:267,Player6,Rigby
00:00:53:267,Player6,Rigby
