Time,Winner,Nickname
00:00:00:000,Player7,Patricio
00:00:00:000,Player7,Patricio
00:00:00:800,Player8,Rigby
00:00:00:800,Player8,Rigby
00:00:01:933,Player5,dulceprincesa
00:00:01:933,Player5,dulceprincesa
00:00:02:367,Player8,Rigby
00:00:02:367,Player8,Rigby
00:00:08:100,Player9,Finn
00:00:08:100,Player9,Finn
00:00:08:400,Player8,Rigby
00:00:08:400,Player8,Rigby
00:00:09:167,Player9,Finn
00:00:09:167,Player9,Finn
00:00:15:667,Player7,Patricio
00:00:15:667,Player7,Patricio
00:00:17:700,Player2,Bob
00:00:17:700,Player2,Bob
00:00:17:867,Player3,Shrek
00:00:17:867,Player3,Shrek
00:00:18:100,Player2,Bob
00:00:18:100,Player2,Bob
00:00:20:333,Player4,marceline
00:00:20:333,Player4,marceline
00:00:20:367,Player2,Bob
00:00:20:367,Player2,Bob
00:00:23:100,Player1,Homero
00:00:23:100,Player1,Homero
00:00:25:267,Player4,marceline
00:00:25:267,Player4,marceline
00:00:29:667,Player1,Homero
00:00:29:667,Player1,Homero
00:00:34:167,Player4,marceline
00:00:34:167,Player4,marceline
00:00:36:467,Player9,Finn
00:00:36:467,Player9,Finn
00:00:36:867,Player4,marceline
00:00:36:867,Player4,marceline
00:00:37:100,Player9,Finn
00:00:37:100,Player9,Finn
00:00:39:133,Player4,marceline
00:00:39:133,Player4,marceline
00:00:39:600,Player9,Finn
00:00:39:600,Player9,Finn
00:00:39:900,Player5,dulceprincesa
00:00:39:900,Player5,dulceprincesa
00:00:40:500,Player4,marceline
00:00:40:500,Player4,marceline
00:00:41:267,Player5,dulceprincesa
00:00:41:267,Player5,dulceprincesa
00:00:41:700,Player4,marceline
00:00:41:700,Player4,marceline
00:00:44:800,Player5,dulceprincesa
00:00:44:800,Player5,dulceprincesa
00:00:45:800,Player4,marceline
00:00:45:800,Player4,marceline
00:00:45:867,Player5,dulceprincesa
00:00:45:867,Player5,dulceprincesa
00:00:46:300,Player4,marceline
00:00:46:300,Player4,marceline
00:00:47:000,Player5,dulceprincesa
00:00:47:000,Player5,dulceprincesa
00:00:47:567,Player4,marceline
00:00:47:567,Player4,marceline
00:00:48:300,Player5,dulceprincesa
00:00:48:300,Player5,dulceprincesa
