Time,Winner,Nickname
00:00:00:000,Player7,Quico
00:00:00:000,Player7,Quico
00:00:03:033,Player9,Mordecai
00:00:03:033,Player9,Mordecai
00:00:03:333,Player3,drdoof
00:00:03:333,Player3,drdoof
00:00:06:033,Player9,Mordecai
00:00:06:033,Player9,Mordecai
00:00:06:067,Player5,Homero
00:00:06:067,Player5,Homero
00:00:06:200,Player7,Quico
00:00:06:200,Player7,Quico
00:00:06:267,Player5,Homero
00:00:06:267,Player5,Homero
00:00:06:333,Player1,Naruto
00:00:06:333,Player1,Naruto
00:00:09:033,Player7,Quico
00:00:09:033,Player7,Quico
00:00:09:067,Player6,Ben10
00:00:09:067,Player6,Ben10
00:00:13:967,Player9,Mordecai
00:00:13:967,Player9,Mordecai
00:00:14:433,Player6,Ben10
00:00:14:433,Player6,Ben10
00:00:15:867,Player9,Mordecai
00:00:15:867,Player9,Mordecai
00:00:15:967,Player6,Ben10
00:00:15:967,Player6,Ben10
00:00:18:533,Player9,Mordecai
00:00:18:533,Player9,Mordecai
00:00:18:700,Player6,Ben10
00:00:18:700,Player6,Ben10
00:00:19:800,Player9,Mordecai
00:00:19:800,Player9,Mordecai
00:00:20:100,Player6,Ben10
00:00:20:100,Player6,Ben10
00:00:21:633,Player9,Mordecai
00:00:21:633,Player9,Mordecai
00:00:24:300,Player6,Ben10
00:00:24:300,Player6,Ben10
00:00:27:200,Player9,Mordecai
00:00:27:200,Player9,Mordecai
00:00:27:967,Player4,Gru
00:00:27:967,Player4,Gru
00:00:30:100,Player1,Naruto
00:00:30:100,Player1,Naruto
00:00:30:933,Player6,Ben10
00:00:30:933,Player6,Ben10
00:00:33:133,Player7,Quico
00:00:33:133,Player7,Quico
00:00:33:733,Player4,Gru
00:00:33:733,Player4,Gru
00:00:51:433,Player9,Mordecai
00:00:51:433,Player9,Mordecai
