Time,Winner,Nickname
00:00:00:000,Player7,Patricio
00:00:00:000,Player7,Patricio
00:00:01:167,Player8,Bob
00:00:01:167,Player8,Bob
00:00:01:300,Player7,Patricio
00:00:01:300,Player7,Patricio
00:00:03:033,Player6,Darwin
00:00:03:033,Player6,Darwin
00:00:03:333,Player3,Peter
00:00:03:333,Player3,Peter
00:00:06:033,Player2,Shrek
00:00:06:033,Player2,Shrek
00:00:06:167,Player6,Darwin
00:00:06:167,Player6,Darwin
00:00:06:233,Player4,marceline
00:00:06:233,Player4,marceline
00:00:06:400,Player6,Darwin
00:00:06:400,Player6,Darwin
00:00:09:033,Player8,Bob
00:00:09:033,Player8,Bob
00:00:09:067,Player5,Naruto
00:00:09:067,Player5,Naruto
00:00:09:167,Player8,Bob
00:00:09:167,Player8,Bob
00:00:09:233,Player1,dulceprincesa
00:00:09:233,Player1,dulceprincesa
00:00:12:133,Player9,Dipper
00:00:12:133,Player9,Dipper
00:00:13:033,Player1,dulceprincesa
00:00:13:033,Player1,dulceprincesa
00:00:13:133,Player9,Dipper
00:00:13:133,Player9,Dipper
00:00:14:100,Player1,dulceprincesa
00:00:14:100,Player1,dulceprincesa
00:00:14:400,Player9,Dipper
00:00:14:400,Player9,Dipper
00:00:15:000,Player1,dulceprincesa
00:00:15:000,Player1,dulceprincesa
00:00:15:733,Player9,Dipper
00:00:15:733,Player9,Dipper
00:00:16:100,Player1,dulceprincesa
00:00:16:100,Player1,dulceprincesa
00:00:16:900,Player9,Dipper
00:00:16:900,Player9,Dipper
00:00:18:133,Player1,dulceprincesa
00:00:18:133,Player1,dulceprincesa
00:00:23:100,Player6,Darwin
00:00:23:100,Player6,Darwin
00:00:24:167,Player1,dulceprincesa
00:00:24:167,Player1,dulceprincesa
00:00:24:500,Player9,Dipper
00:00:24:500,Player9,Dipper
00:00:26:567,Player2,Shrek
00:00:26:567,Player2,Shrek
00:00:26:733,Player9,Dipper
00:00:26:733,Player9,Dipper
00:00:26:833,Player2,Shrek
00:00:26:833,Player2,Shrek
00:00:27:767,Player6,Darwin
00:00:27:767,Player6,Darwin
00:00:30:033,Player8,Bob
00:00:30:033,Player8,Bob
00:00:30:833,Player5,Naruto
00:00:30:833,Player5,Naruto
00:00:31:267,Player8,Bob
00:00:31:267,Player8,Bob
00:00:31:333,Player5,Naruto
00:00:31:333,Player5,Naruto
00:00:31:800,Player8,Bob
00:00:31:800,Player8,Bob
00:00:32:800,Player5,Naruto
00:00:32:800,Player5,Naruto
00:00:33:033,Player8,Bob
00:00:33:033,Player8,Bob
00:00:33:333,Player3,Peter
00:00:33:333,Player3,Peter
00:00:33:633,Player4,marceline
00:00:33:633,Player4,marceline
00:00:51:100,Player6,Darwin
00:00:51:100,Player6,Darwin
00:00:51:467,Player3,Peter
00:00:51:467,Player3,Peter
00:00:51:567,Player6,Darwin
00:00:51:567,Player6,Darwin
