Time,Winner,Nickname
00:00:00:000,Player7,Ben10
00:00:00:000,Player7,Ben10
00:00:00:900,Player8,BMO
00:00:00:900,Player8,BMO
00:00:02:300,Player9,Ben10
00:00:02:300,Player9,Ben10
00:00:04:000,Player8,BMO
00:00:04:000,Player8,BMO
00:00:04:100,Player5,Ben10
00:00:04:100,Player5,Ben10
00:00:04:133,Player8,BMO
00:00:04:133,Player8,BMO
00:00:04:200,Player9,Ben10
00:00:04:200,Player9,Ben10
00:00:04:233,Player5,Ben10
00:00:04:233,Player5,Ben10
00:00:04:300,Player9,Ben10
00:00:04:300,Player9,Ben10
00:00:04:367,Player5,Ben10
00:00:04:367,Player5,Ben10
00:00:04:400,Player9,Ben10
00:00:04:400,Player9,Ben10
00:00:04:467,Player5,Ben10
00:00:04:467,Player5,Ben10
00:00:04:533,Player9,Ben10
00:00:04:533,Player9,Ben10
00:00:04:600,Player8,BMO
00:00:04:600,Player8,BMO
00:00:04:633,Player5,Ben10
00:00:04:633,Player5,Ben10
00:00:04:700,Player9,Ben10
00:00:04:700,Player9,Ben10
00:00:04:733,Player8,BMO
00:00:04:733,Player8,BMO
00:00:04:800,Player6,BMO
00:00:04:800,Player6,BMO
00:00:04:833,Player9,Ben10
00:00:04:833,Player9,Ben10
00:00:04:867,Player5,Ben10
00:00:04:867,Player5,Ben10
00:00:04:900,Player8,BMO
00:00:04:900,Player8,BMO
00:00:04:967,Player9,Ben10
00:00:04:967,Player9,Ben10
00:00:05:033,Player8,BMO
00:00:05:033,Player8,BMO
00:00:05:067,Player5,Ben10
00:00:05:067,Player5,Ben10
00:00:05:133,Player9,Ben10
00:00:05:133,Player9,Ben10
00:00:05:200,Player8,BMO
00:00:05:200,Player8,BMO
00:00:05:233,Player5,Ben10
00:00:05:233,Player5,Ben10
00:00:05:267,Player6,BMO
00:00:05:267,Player6,BMO
00:00:05:300,Player8,BMO
00:00:05:300,Player8,BMO
00:00:05:333,Player6,BMO
00:00:05:333,Player6,BMO
00:00:05:367,Player5,Ben10
00:00:05:367,Player5,Ben10
00:00:05:433,Player9,Ben10
00:00:05:433,Player9,Ben10
00:00:05:467,Player8,BMO
00:00:05:467,Player8,BMO
00:00:05:500,Player6,BMO
00:00:05:500,Player6,BMO
00:00:05:600,Player8,BMO
00:00:05:600,Player8,BMO
00:00:05:800,Player6,BMO
00:00:05:800,Player6,BMO
00:00:05:833,Player3,Ben10
00:00:05:833,Player3,Ben10
00:00:05:967,Player5,Ben10
00:00:05:967,Player5,Ben10
00:00:06:033,Player6,BMO
00:00:06:033,Player6,BMO
00:00:06:100,Player3,Ben10
00:00:06:100,Player3,Ben10
00:00:06:133,Player5,Ben10
00:00:06:133,Player5,Ben10
00:00:08:233,Player6,BMO
00:00:08:233,Player6,BMO
00:00:10:500,Player5,Ben10
00:00:10:500,Player5,Ben10
00:00:10:633,Player6,BMO
00:00:10:633,Player6,BMO
00:00:13:300,Player5,Ben10
00:00:13:300,Player5,Ben10
00:00:13:633,Player4,BMO
00:00:13:633,Player4,BMO
00:00:13:667,Player5,Ben10
00:00:13:667,Player5,Ben10
00:00:13:833,Player6,BMO
00:00:13:833,Player6,BMO
00:00:17:967,Player4,BMO
00:00:17:967,Player4,BMO
00:00:18:033,Player6,BMO
00:00:18:033,Player6,BMO
00:00:18:767,Player8,BMO
00:00:18:767,Player8,BMO
00:00:21:033,Player5,Ben10
00:00:21:033,Player5,Ben10
00:00:21:067,Player3,Ben10
00:00:21:067,Player3,Ben10
00:00:21:133,Player5,Ben10
00:00:21:133,Player5,Ben10
00:00:21:800,Player3,Ben10
00:00:21:800,Player3,Ben10
00:00:22:133,Player2,BMO
00:00:22:133,Player2,BMO
00:00:22:200,Player3,Ben10
00:00:22:200,Player3,Ben10
00:00:24:000,Player2,BMO
00:00:24:000,Player2,BMO
00:00:31:133,Player5,Ben10
00:00:31:133,Player5,Ben10
00:00:38:300,Player1,Ben10
00:00:38:300,Player1,Ben10
00:00:40:967,Player5,Ben10
00:00:40:967,Player5,Ben10
00:00:41:033,Player1,Ben10
00:00:41:033,Player1,Ben10
00:00:41:233,Player5,Ben10
00:00:41:233,Player5,Ben10
00:00:42:033,Player4,BMO
00:00:42:033,Player4,BMO
00:00:42:233,Player5,Ben10
00:00:42:233,Player5,Ben10
00:00:42:333,Player1,Ben10
00:00:42:333,Player1,Ben10
00:00:43:100,Player4,BMO
00:00:43:100,Player4,BMO
00:00:44:933,Player7,Ben10
00:00:44:933,Player7,Ben10
00:00:53:000,Player5,Ben10
00:00:53:000,Player5,Ben10
