Time,Winner,Nickname
00:00:00:000,Player7,Steven
00:00:00:000,Player7,Steven
00:00:00:800,Player8,BMO
00:00:00:800,Player8,BMO
00:00:03:700,Player9,ReyHelado
00:00:03:700,Player9,ReyHelado
00:00:03:900,Player6,Minion
00:00:03:900,Player6,Minion
00:00:04:033,Player8,BMO
00:00:04:033,Player8,BMO
00:00:04:467,Player5,Phineas
00:00:04:467,Player5,Phineas
00:00:04:967,Player6,Minion
00:00:04:967,Player6,Minion
00:00:05:200,Player5,Phineas
00:00:05:200,Player5,Phineas
00:00:05:300,Player6,Minion
00:00:05:300,Player6,Minion
00:00:05:400,Player2,drdoof
00:00:05:400,Player2,drdoof
00:00:05:433,Player5,Phineas
00:00:05:433,Player5,Phineas
00:00:05:467,Player2,drdoof
00:00:05:467,Player2,drdoof
00:00:05:500,Player6,Minion
00:00:05:500,Player6,Minion
00:00:05:567,Player2,drdoof
00:00:05:567,Player2,drdoof
00:00:05:700,Player5,Phineas
00:00:05:700,Player5,Phineas
00:00:05:800,Player6,Minion
00:00:05:800,Player6,Minion
00:00:06:267,Player3,Vegeta
00:00:06:267,Player3,Vegeta
00:00:08:100,Player5,Phineas
00:00:08:100,Player5,Phineas
00:00:08:300,Player3,Vegeta
00:00:08:300,Player3,Vegeta
00:00:08:333,Player5,Phineas
00:00:08:333,Player5,Phineas
00:00:08:433,Player3,Vegeta
00:00:08:433,Player3,Vegeta
00:00:11:000,Player5,Phineas
00:00:11:000,Player5,Phineas
00:00:11:400,Player3,Vegeta
00:00:11:400,Player3,Vegeta
00:00:11:500,Player5,Phineas
00:00:11:500,Player5,Phineas
00:00:12:833,Player3,Vegeta
00:00:12:833,Player3,Vegeta
00:00:14:033,Player5,Phineas
00:00:14:033,Player5,Phineas
00:00:15:300,Player2,drdoof
00:00:15:300,Player2,drdoof
00:00:15:367,Player5,Phineas
00:00:15:367,Player5,Phineas
00:00:18:067,Player2,drdoof
00:00:18:067,Player2,drdoof
00:00:18:367,Player6,Minion
00:00:18:367,Player6,Minion
00:00:18:467,Player2,drdoof
00:00:18:467,Player2,drdoof
00:00:21:133,Player1,Darwin
00:00:21:133,Player1,Darwin
00:00:21:300,Player3,Vegeta
00:00:21:300,Player3,Vegeta
00:00:23:933,Player1,Darwin
00:00:23:933,Player1,Darwin
00:00:28:467,Player3,Vegeta
00:00:28:467,Player3,Vegeta
00:00:28:567,Player5,Phineas
00:00:28:567,Player5,Phineas
00:00:28:633,Player3,Vegeta
00:00:28:633,Player3,Vegeta
00:00:38:000,Player1,Darwin
00:00:38:000,Player1,Darwin
00:00:38:167,Player3,Vegeta
00:00:38:167,Player3,Vegeta
00:00:38:900,Player1,Darwin
00:00:38:900,Player1,Darwin
00:00:40:433,Player3,Vegeta
00:00:40:433,Player3,Vegeta
00:00:40:867,Player2,drdoof
00:00:40:867,Player2,drdoof
00:00:41:767,Player5,Phineas
00:00:41:767,Player5,Phineas
00:00:42:133,Player2,drdoof
00:00:42:133,Player2,drdoof
00:00:42:433,Player5,Phineas
00:00:42:433,Player5,Phineas
00:00:42:467,Player3,Vegeta
00:00:42:467,Player3,Vegeta
00:00:43:433,Player5,Phineas
00:00:43:433,Player5,Phineas
00:00:43:500,Player3,Vegeta
00:00:43:500,Player3,Vegeta
00:00:43:633,Player5,Phineas
00:00:43:633,Player5,Phineas
00:00:43:767,Player9,ReyHelado
00:00:43:767,Player9,ReyHelado
