Time,Winner,Nickname
00:00:00:000,Player7,Rigby
00:00:00:000,Player7,Rigby
00:00:01:967,Player9,drdoof
00:00:01:967,Player9,drdoof
00:00:02:033,Player7,Rigby
00:00:02:033,Player7,Rigby
00:00:09:300,Player1,Bob
00:00:09:300,Player1,Bob
00:00:10:367,Player7,Rigby
00:00:10:367,Player7,Rigby
00:00:12:333,Player1,Bob
00:00:12:333,Player1,Bob
00:00:12:367,Player7,Rigby
00:00:12:367,Player7,Rigby
00:00:12:967,Player1,Bob
00:00:12:967,Player1,Bob
00:00:13:733,Player7,Rigby
00:00:13:733,Player7,Rigby
00:00:14:800,Player1,Bob
00:00:14:800,Player1,Bob
00:00:15:100,Player7,Rigby
00:00:15:100,Player7,Rigby
00:00:16:100,Player3,Mordecai
00:00:16:100,Player3,Mordecai
00:00:17:667,Player6,Naruto
00:00:17:667,Player6,Naruto
00:00:17:800,Player4,Bart
00:00:17:800,Player4,Bart
00:00:27:467,Player9,drdoof
00:00:27:467,Player9,drdoof
00:00:28:067,Player4,Bart
00:00:28:067,Player4,Bart
00:00:28:600,Player9,drdoof
00:00:28:600,Player9,drdoof
00:00:30:267,Player4,Bart
00:00:30:267,Player4,Bart
00:00:34:400,Player9,drdoof
00:00:34:400,Player9,drdoof
00:00:39:667,Player2,Natanael
00:00:39:667,Player2,Natanael
00:00:40:600,Player3,Mordecai
00:00:40:600,Player3,Mordecai
00:00:41:600,Player5,dulceprincesa
00:00:41:600,Player5,dulceprincesa
00:00:48:333,Player7,Rigby
00:00:48:333,Player7,Rigby
