Time,Winner,Nickname
00:00:00:000,Player7,Mordecai
00:00:00:000,Player7,Mordecai
00:00:00:900,Player8,BMO
00:00:00:900,Player8,BMO
00:00:02:767,Player9,Gokú
00:00:02:767,Player9,Gokú
00:00:03:300,Player8,BMO
00:00:03:300,Player8,BMO
00:00:03:467,Player9,Gokú
00:00:03:467,Player9,Gokú
00:00:04:033,Player6,BadBunny
00:00:04:033,Player6,BadBunny
00:00:04:067,Player9,Gokú
00:00:04:067,Player9,Gokú
00:00:04:133,Player6,BadBunny
00:00:04:133,Player6,BadBunny
00:00:04:167,Player7,Mordecai
00:00:04:167,Player7,Mordecai
00:00:04:233,Player9,Gokú
00:00:04:233,Player9,Gokú
00:00:04:300,Player7,Mordecai
00:00:04:300,Player7,Mordecai
00:00:04:367,Player6,BadBunny
00:00:04:367,Player6,BadBunny
00:00:04:400,Player7,Mordecai
00:00:04:400,Player7,Mordecai
00:00:04:533,Player6,BadBunny
00:00:04:533,Player6,BadBunny
00:00:04:633,Player8,BMO
00:00:04:633,Player8,BMO
00:00:04:733,Player9,Gokú
00:00:04:733,Player9,Gokú
00:00:04:800,Player8,BMO
00:00:04:800,Player8,BMO
00:00:04:867,Player7,Mordecai
00:00:04:867,Player7,Mordecai
00:00:04:967,Player6,BadBunny
00:00:04:967,Player6,BadBunny
00:00:05:100,Player8,BMO
00:00:05:100,Player8,BMO
00:00:05:233,Player7,Mordecai
00:00:05:233,Player7,Mordecai
00:00:05:300,Player5,Mordecai
00:00:05:300,Player5,Mordecai
00:00:05:400,Player9,Gokú
00:00:05:400,Player9,Gokú
00:00:05:467,Player5,Mordecai
00:00:05:467,Player5,Mordecai
00:00:05:500,Player8,BMO
00:00:05:500,Player8,BMO
00:00:05:567,Player6,BadBunny
00:00:05:567,Player6,BadBunny
00:00:06:100,Player9,Gokú
00:00:06:100,Player9,Gokú
00:00:13:100,Player8,BMO
00:00:13:100,Player8,BMO
00:00:13:433,Player9,Gokú
00:00:13:433,Player9,Gokú
00:00:16:567,Player6,BadBunny
00:00:16:567,Player6,BadBunny
00:00:18:067,Player1,BMO
00:00:18:067,Player1,BMO
00:00:18:167,Player4,Gokú
00:00:18:167,Player4,Gokú
00:00:18:700,Player1,BMO
00:00:18:700,Player1,BMO
00:00:21:033,Player9,Gokú
00:00:21:033,Player9,Gokú
00:00:21:133,Player8,BMO
00:00:21:133,Player8,BMO
00:00:21:167,Player9,Gokú
00:00:21:167,Player9,Gokú
00:00:21:200,Player8,BMO
00:00:21:200,Player8,BMO
00:00:22:400,Player6,BadBunny
00:00:22:400,Player6,BadBunny
00:00:29:400,Player8,BMO
00:00:29:400,Player8,BMO
00:00:30:767,Player5,Mordecai
00:00:30:767,Player5,Mordecai
00:00:38:600,Player8,BMO
00:00:38:600,Player8,BMO
00:00:40:367,Player4,Gokú
00:00:40:367,Player4,Gokú
00:00:41:000,Player8,BMO
00:00:41:000,Player8,BMO
