Time,Winner,Nickname
00:00:00:000,Player7,Peter
00:00:00:000,Player7,Peter
00:00:00:700,Player8,Gru
00:00:00:700,Player8,Gru
00:00:03:633,Player9,ReyHelado
00:00:03:633,Player9,ReyHelado
00:00:04:167,Player8,Gru
00:00:04:167,Player8,Gru
00:00:04:267,Player9,ReyHelado
00:00:04:267,Player9,ReyHelado
00:00:04:300,Player8,Gru
00:00:04:300,Player8,Gru
00:00:04:467,Player9,ReyHelado
00:00:04:467,Player9,ReyHelado
00:00:04:500,Player5,Homero
00:00:04:500,Player5,Homero
00:00:04:533,Player8,Gru
00:00:04:533,Player8,Gru
00:00:04:600,Player5,Homero
00:00:04:600,Player5,Homero
00:00:04:667,Player9,ReyHelado
00:00:04:667,Player9,ReyHelado
00:00:04:700,Player8,Gru
00:00:04:700,Player8,Gru
00:00:04:733,Player5,Homero
00:00:04:733,Player5,Homero
00:00:04:767,Player9,ReyHelado
00:00:04:767,Player9,ReyHelado
00:00:04:833,Player5,Homero
00:00:04:833,Player5,Homero
00:00:04:867,Player8,Gru
00:00:04:867,Player8,Gru
00:00:04:900,Player4,dulceprincesa
00:00:04:900,Player4,dulceprincesa
00:00:04:933,Player9,ReyHelado
00:00:04:933,Player9,ReyHelado
00:00:05:000,Player8,Gru
00:00:05:000,Player8,Gru
00:00:05:067,Player9,ReyHelado
00:00:05:067,Player9,ReyHelado
00:00:06:433,Player5,Homero
00:00:06:433,Player5,Homero
00:00:06:767,Player9,ReyHelado
00:00:06:767,Player9,ReyHelado
00:00:06:933,Player5,Homero
00:00:06:933,Player5,Homero
00:00:07:333,Player9,ReyHelado
00:00:07:333,Player9,ReyHelado
00:00:07:400,Player5,Homero
00:00:07:400,Player5,Homero
00:00:13:600,Player2,jake
00:00:13:600,Player2,jake
00:00:16:967,Player3,Phineas
00:00:16:967,Player3,Phineas
00:00:18:233,Player2,jake
00:00:18:233,Player2,jake
00:00:18:600,Player8,Gru
00:00:18:600,Player8,Gru
00:00:18:900,Player2,jake
00:00:18:900,Player2,jake
00:00:21:033,Player1,Dipper
00:00:21:033,Player1,Dipper
00:00:21:533,Player9,ReyHelado
00:00:21:533,Player9,ReyHelado
00:00:23:900,Player5,Homero
00:00:23:900,Player5,Homero
00:00:25:100,Player1,Dipper
00:00:25:100,Player1,Dipper
00:00:25:267,Player5,Homero
00:00:25:267,Player5,Homero
00:00:47:900,Player7,Peter
00:00:47:900,Player7,Peter
00:00:48:500,Player5,Homero
00:00:48:500,Player5,Homero
