Time,Winner,Nickname
00:00:00:000,Player7,Bob
00:00:00:000,Player7,Bob
00:00:00:833,Player8,Rigby
00:00:00:833,Player8,Rigby
00:00:02:300,Player9,Peter
00:00:02:300,Player9,Peter
00:00:03:267,Player6,marceline
00:00:03:267,Player6,marceline
00:00:03:500,Player9,Peter
00:00:03:500,Player9,Peter
00:00:03:567,Player6,marceline
00:00:03:567,Player6,marceline
00:00:03:767,Player9,Peter
00:00:03:767,Player9,Peter
00:00:03:800,Player8,Rigby
00:00:03:800,Player8,Rigby
00:00:03:833,Player6,marceline
00:00:03:833,Player6,marceline
00:00:04:200,Player9,Peter
00:00:04:200,Player9,Peter
00:00:04:533,Player6,marceline
00:00:04:533,Player6,marceline
00:00:04:567,Player3,dulceprincesa
00:00:04:567,Player3,dulceprincesa
00:00:04:667,Player9,Peter
00:00:04:667,Player9,Peter
00:00:04:733,Player6,marceline
00:00:04:733,Player6,marceline
00:00:04:867,Player3,dulceprincesa
00:00:04:867,Player3,dulceprincesa
00:00:04:933,Player9,Peter
00:00:04:933,Player9,Peter
00:00:05:033,Player8,Rigby
00:00:05:033,Player8,Rigby
00:00:05:067,Player5,Rayo
00:00:05:067,Player5,Rayo
00:00:05:133,Player6,marceline
00:00:05:133,Player6,marceline
00:00:05:233,Player3,dulceprincesa
00:00:05:233,Player3,dulceprincesa
00:00:05:300,Player9,Peter
00:00:05:300,Player9,Peter
00:00:05:367,Player8,Rigby
00:00:05:367,Player8,Rigby
00:00:05:467,Player6,marceline
00:00:05:467,Player6,marceline
00:00:05:567,Player3,dulceprincesa
00:00:05:567,Player3,dulceprincesa
00:00:05:667,Player5,Rayo
00:00:05:667,Player5,Rayo
00:00:06:100,Player6,marceline
00:00:06:100,Player6,marceline
00:00:07:633,Player3,dulceprincesa
00:00:07:633,Player3,dulceprincesa
00:00:10:567,Player8,Rigby
00:00:10:567,Player8,Rigby
00:00:13:067,Player3,dulceprincesa
00:00:13:067,Player3,dulceprincesa
00:00:13:867,Player8,Rigby
00:00:13:867,Player8,Rigby
00:00:14:067,Player3,dulceprincesa
00:00:14:067,Player3,dulceprincesa
00:00:15:133,Player8,Rigby
00:00:15:133,Player8,Rigby
00:00:15:333,Player3,dulceprincesa
00:00:15:333,Player3,dulceprincesa
00:00:15:467,Player1,Naruto
00:00:15:467,Player1,Naruto
00:00:15:500,Player3,dulceprincesa
00:00:15:500,Player3,dulceprincesa
00:00:18:733,Player9,Peter
00:00:18:733,Player9,Peter
00:00:21:033,Player3,dulceprincesa
00:00:21:033,Player3,dulceprincesa
00:00:21:200,Player1,Naruto
00:00:21:200,Player1,Naruto
00:00:21:900,Player8,Rigby
00:00:21:900,Player8,Rigby
00:00:22:133,Player1,Naruto
00:00:22:133,Player1,Naruto
00:00:25:600,Player8,Rigby
00:00:25:600,Player8,Rigby
00:00:26:100,Player1,Naruto
00:00:26:100,Player1,Naruto
00:00:28:900,Player8,Rigby
00:00:28:900,Player8,Rigby
00:00:29:233,Player1,Naruto
00:00:29:233,Player1,Naruto
00:00:37:967,Player3,dulceprincesa
00:00:37:967,Player3,dulceprincesa
00:00:47:000,Player5,Rayo
00:00:47:000,Player5,Rayo
00:00:50:400,Player6,marceline
00:00:50:400,Player6,marceline
