Time,Winner,Nickname
00:00:00:000,Player7,Shrek
00:00:00:000,Player7,Shrek
00:00:00:900,Player8,Bob
00:00:00:900,Player8,Bob
00:00:01:667,Player9,Quico
00:00:01:667,Player9,Quico
00:00:03:400,Player6,ReyHelado
00:00:03:400,Player6,ReyHelado
00:00:03:933,Player9,Quico
00:00:03:933,Player9,Quico
00:00:04:000,Player6,ReyHelado
00:00:04:000,Player6,ReyHelado
00:00:04:100,Player9,Quico
00:00:04:100,Player9,Quico
00:00:04:167,Player6,ReyHelado
00:00:04:167,Player6,ReyHelado
00:00:04:333,Player9,Quico
00:00:04:333,Player9,Quico
00:00:04:400,Player6,ReyHelado
00:00:04:400,Player6,ReyHelado
00:00:04:500,Player9,Quico
00:00:04:500,Player9,Quico
00:00:04:533,Player6,ReyHelado
00:00:04:533,Player6,ReyHelado
00:00:04:633,Player9,Quico
00:00:04:633,Player9,Quico
00:00:04:733,Player6,ReyHelado
00:00:04:733,Player6,ReyHelado
00:00:04:800,Player4,Peter
00:00:04:800,Player4,Peter
00:00:04:833,Player3,Naruto
00:00:04:833,Player3,Naruto
00:00:04:900,Player2,jake
00:00:04:900,Player2,jake
00:00:05:000,Player9,Quico
00:00:05:000,Player9,Quico
00:00:05:033,Player3,Naruto
00:00:05:033,Player3,Naruto
00:00:05:100,Player6,ReyHelado
00:00:05:100,Player6,ReyHelado
00:00:05:200,Player2,jake
00:00:05:200,Player2,jake
00:00:05:233,Player6,ReyHelado
00:00:05:233,Player6,ReyHelado
00:00:05:333,Player9,Quico
00:00:05:333,Player9,Quico
00:00:06:267,Player3,Naruto
00:00:06:267,Player3,Naruto
00:00:07:300,Player6,ReyHelado
00:00:07:300,Player6,ReyHelado
00:00:10:200,Player3,Naruto
00:00:10:200,Player3,Naruto
00:00:10:833,Player6,ReyHelado
00:00:10:833,Player6,ReyHelado
00:00:11:867,Player3,Naruto
00:00:11:867,Player3,Naruto
00:00:12:867,Player6,ReyHelado
00:00:12:867,Player6,ReyHelado
00:00:13:400,Player3,Naruto
00:00:13:400,Player3,Naruto
00:00:14:133,Player9,Quico
00:00:14:133,Player9,Quico
00:00:14:233,Player3,Naruto
00:00:14:233,Player3,Naruto
00:00:14:333,Player6,ReyHelado
00:00:14:333,Player6,ReyHelado
00:00:18:833,Player9,Quico
00:00:18:833,Player9,Quico
00:00:21:033,Player7,Shrek
00:00:21:033,Player7,Shrek
00:00:22:000,Player3,Naruto
00:00:22:000,Player3,Naruto
00:00:25:700,Player7,Shrek
00:00:25:700,Player7,Shrek
00:00:26:033,Player3,Naruto
00:00:26:033,Player3,Naruto
00:00:27:367,Player7,Shrek
00:00:27:367,Player7,Shrek
00:00:27:400,Player3,Naruto
00:00:27:400,Player3,Naruto
00:00:28:267,Player7,Shrek
00:00:28:267,Player7,Shrek
00:00:28:800,Player1,Calamardo
00:00:28:800,Player1,Calamardo
00:00:29:033,Player7,Shrek
00:00:29:033,Player7,Shrek
00:00:29:500,Player1,Calamardo
00:00:29:500,Player1,Calamardo
00:00:36:633,Player7,Shrek
00:00:36:633,Player7,Shrek
00:00:45:800,Player4,Peter
00:00:45:800,Player4,Peter
00:00:45:967,Player7,Shrek
00:00:45:967,Player7,Shrek
