Time,Winner,Nickname
00:00:00:000,Player7,Mordecai
00:00:00:000,Player7,Mordecai
00:00:03:033,Player6,Ben10
00:00:03:033,Player6,Ben10
00:00:03:100,Player3,Rayo
00:00:03:100,Player3,Rayo
00:00:03:167,Player6,Ben10
00:00:03:167,Player6,Ben10
00:00:03:433,Player3,Rayo
00:00:03:433,Player3,Rayo
00:00:06:033,Player6,Ben10
00:00:06:033,Player6,Ben10
00:00:06:067,Player9,Shrek
00:00:06:067,Player9,Shrek
00:00:06:100,Player1,jake
00:00:06:100,Player1,jake
00:00:06:233,Player9,Shrek
00:00:06:233,Player9,Shrek
00:00:07:333,Player1,jake
00:00:07:333,Player1,jake
00:00:09:033,Player8,Dipper
00:00:09:033,Player8,Dipper
00:00:09:100,Player5,marceline
00:00:09:100,Player5,marceline
00:00:09:600,Player6,Ben10
00:00:09:600,Player6,Ben10
00:00:09:767,Player5,marceline
00:00:09:767,Player5,marceline
00:00:09:833,Player4,ReyHelado
00:00:09:833,Player4,ReyHelado
00:00:10:267,Player5,marceline
00:00:10:267,Player5,marceline
00:00:10:300,Player4,ReyHelado
00:00:10:300,Player4,ReyHelado
00:00:12:333,Player6,Ben10
00:00:12:333,Player6,Ben10
00:00:13:933,Player4,ReyHelado
00:00:13:933,Player4,ReyHelado
00:00:20:333,Player6,Ben10
00:00:20:333,Player6,Ben10
00:00:21:133,Player4,ReyHelado
00:00:21:133,Player4,ReyHelado
00:00:23:533,Player6,Ben10
00:00:23:533,Player6,Ben10
00:00:24:033,Player4,ReyHelado
00:00:24:033,Player4,ReyHelado
00:00:24:367,Player5,marceline
00:00:24:367,Player5,marceline
00:00:26:433,Player3,Rayo
00:00:26:433,Player3,Rayo
00:00:26:767,Player5,marceline
00:00:26:767,Player5,marceline
00:00:27:100,Player3,Rayo
00:00:27:100,Player3,Rayo
00:00:27:967,Player1,jake
00:00:27:967,Player1,jake
00:00:30:033,Player4,ReyHelado
00:00:30:033,Player4,ReyHelado
00:00:30:067,Player6,Ben10
00:00:30:067,Player6,Ben10
00:00:33:033,Player8,Dipper
00:00:33:033,Player8,Dipper
00:00:33:333,Player9,Shrek
00:00:33:333,Player9,Shrek
00:00:34:233,Player7,Mordecai
00:00:34:233,Player7,Mordecai
00:00:47:233,Player6,Ben10
00:00:47:233,Player6,Ben10
00:00:52:200,Player8,Dipper
00:00:52:200,Player8,Dipper
00:00:53:467,Player6,Ben10
00:00:53:467,Player6,Ben10
