Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Darwin,None,None
00:00:00:000,Player7,Darwin,Player8,Player8
00:00:03:033,Player9,Phineas,None,None
00:00:03:033,Player9,Phineas,Player3,Player3
00:00:03:467,Player3,Musculoso,None,None
00:00:03:467,Player3,Musculoso,Player9,Phineas
00:00:06:033,Player9,Phineas,None,None
00:00:06:033,Player9,Phineas,Player5,Player5
00:00:06:067,Player4,Mordecai,None,None
00:00:06:067,Player4,Mordecai,Player9,Phineas
00:00:06:167,Player9,Phineas,None,None
00:00:06:167,Player9,Phineas,Player8,Player8
00:00:06:900,Player4,Mordecai,None,None
00:00:06:900,Player4,Mordecai,Player8,Player8
00:00:09:033,Player9,Phineas,None,None
00:00:09:033,Player9,Phineas,Player4,Mordecai
00:00:09:100,Player5,Quico,None,None
00:00:09:100,Player5,Quico,Player9,Phineas
00:00:09:133,Player2,DonCangrejo,None,None
00:00:09:133,Player2,DonCangrejo,Player5,Quico
00:00:09:267,Player5,Quico,None,None
00:00:09:267,Player5,Quico,Player9,Phineas
00:00:17:533,Player3,Musculoso,None,None
00:00:17:533,Player3,Musculoso,Player2,DonCangrejo
00:00:18:500,Player5,Quico,None,None
00:00:18:500,Player5,Quico,Player3,Musculoso
00:00:18:533,Player3,Musculoso,None,None
00:00:18:533,Player3,Musculoso,Player2,DonCangrejo
00:00:19:800,Player5,Quico,None,None
00:00:19:800,Player5,Quico,Player9,Phineas
00:00:20:133,Player3,Musculoso,None,None
00:00:20:133,Player3,Musculoso,Player2,DonCangrejo
00:00:24:100,Player5,Quico,None,None
00:00:24:100,Player5,Quico,Player9,Phineas
00:00:24:300,Player9,Phineas,None,None
00:00:24:300,Player9,Phineas,Player5,Quico
00:00:24:633,Player5,Quico,None,None
00:00:24:633,Player5,Quico,Player2,DonCangrejo
00:00:24:833,Player9,Phineas,None,None
00:00:24:833,Player9,Phineas,Player5,Quico
00:00:27:033,Player5,Quico,None,None
00:00:27:033,Player5,Quico,Player1,Player1
00:00:27:600,Player1,Shrek,None,None
00:00:27:600,Player1,Shrek,Player5,Quico
00:00:28:000,Player6,ReyHelado,None,None
00:00:28:000,Player6,ReyHelado,Player1,Shrek
00:00:30:033,Player1,Shrek,None,None
00:00:30:033,Player1,Shrek,Player9,Phineas
00:00:30:400,Player2,DonCangrejo,None,None
00:00:30:400,Player2,DonCangrejo,Player1,Shrek
00:00:30:800,Player1,Shrek,None,None
00:00:30:800,Player1,Shrek,Player2,DonCangrejo
00:00:31:333,Player2,DonCangrejo,None,None
00:00:31:333,Player2,DonCangrejo,Player1,Shrek
00:00:33:067,Player9,Phineas,None,None
00:00:33:067,Player9,Phineas,Player2,DonCangrejo
00:00:33:100,Player3,Musculoso,None,None
00:00:33:100,Player3,Musculoso,Player5,Quico
00:00:33:400,Player5,Quico,None,None
00:00:33:400,Player5,Quico,Player7,Darwin
00:00:34:133,Player3,Musculoso,None,None
00:00:34:133,Player3,Musculoso,Player5,Quico
00:00:52:400,Player2,DonCangrejo,None,None
00:00:52:400,Player2,DonCangrejo,Player3,Musculoso
00:00:53:967,Player5,Quico,None,None
00:00:53:967,Player5,Quico,Player6,ReyHelado
