Time,Winner,Nickname
00:00:00:000,Player1,Finn
00:00:00:000,Player1,Finn
00:00:00:933,Player2,Naruto
00:00:00:933,Player2,Naruto
00:00:01:700,Player1,Finn
00:00:01:700,Player1,Finn
00:00:03:133,Player2,Naruto
00:00:03:133,Player2,Naruto
00:00:11:167,Player1,Finn
00:00:11:167,Player1,Finn
00:00:11:867,Player2,Naruto
00:00:11:867,Player2,Naruto
00:00:18:267,Player1,Finn
00:00:18:267,Player1,Finn
00:00:20:833,Player2,Naruto
00:00:20:833,Player2,Naruto
00:00:21:333,Player1,Finn
00:00:21:333,Player1,Finn
00:00:21:400,Player2,Naruto
00:00:21:400,Player2,Naruto
00:00:23:700,Player1,Finn
00:00:23:700,Player1,Finn
00:00:25:400,Player2,Naruto
00:00:25:400,Player2,Naruto
00:00:25:733,Player1,Finn
00:00:25:733,Player1,Finn
00:00:26:033,Player2,Naruto
00:00:26:033,Player2,Naruto
00:00:30:000,Player1,Finn
00:00:30:000,Player1,Finn
00:00:30:200,Player2,Naruto
00:00:30:200,Player2,Naruto
00:00:31:967,Player1,Finn
00:00:31:967,Player1,Finn
00:00:32:033,Player2,Naruto
00:00:32:033,Player2,Naruto
00:00:33:900,Player1,Finn
00:00:33:900,Player1,Finn
