winners,nickname,totaltime
Player7,Homero,6.766665
Player8,Bart,3.166667
Player5,Rigby,7.200001
Player6,Mordecai,18.36666
Player2,Shakira,2.833334
Player3,Patricio,1.533333
Player1,Finn,10.43334
Player9,Calamardo,0

FirstWinner
Calamardo
Player7,Homero,6.766665
Player8,Bart,3.166667
Player5,Rigby,7.200001
Player6,Mordecai,18.36666
Player2,Shakira,2.833334
Player3,Patricio,1.533333
Player1,Finn,10.43334
Player9,Calamardo,0

FirstWinner
Calamardo
