Time,Winner,Nickname
00:00:00:000,Player7,Minion
00:00:00:000,Player7,Minion
00:00:00:700,Player8,Rick
00:00:00:700,Player8,Rick
00:00:01:900,Player7,Minion
00:00:01:900,Player7,Minion
00:00:02:533,Player4,dulceprincesa
00:00:02:533,Player4,dulceprincesa
00:00:04:000,Player9,Homero
00:00:04:000,Player9,Homero
00:00:04:133,Player8,Rick
00:00:04:133,Player8,Rick
00:00:04:200,Player4,dulceprincesa
00:00:04:200,Player4,dulceprincesa
00:00:04:233,Player8,Rick
00:00:04:233,Player8,Rick
00:00:04:500,Player4,dulceprincesa
00:00:04:500,Player4,dulceprincesa
00:00:04:600,Player9,Homero
00:00:04:600,Player9,Homero
00:00:04:667,Player5,Quico
00:00:04:667,Player5,Quico
00:00:04:700,Player4,dulceprincesa
00:00:04:700,Player4,dulceprincesa
00:00:04:733,Player5,Quico
00:00:04:733,Player5,Quico
00:00:04:767,Player8,Rick
00:00:04:767,Player8,Rick
00:00:04:800,Player4,dulceprincesa
00:00:04:800,Player4,dulceprincesa
00:00:04:867,Player9,Homero
00:00:04:867,Player9,Homero
00:00:04:933,Player8,Rick
00:00:04:933,Player8,Rick
00:00:05:000,Player4,dulceprincesa
00:00:05:000,Player4,dulceprincesa
00:00:05:067,Player9,Homero
00:00:05:067,Player9,Homero
00:00:05:133,Player8,Rick
00:00:05:133,Player8,Rick
00:00:05:233,Player4,dulceprincesa
00:00:05:233,Player4,dulceprincesa
00:00:05:267,Player9,Homero
00:00:05:267,Player9,Homero
00:00:05:300,Player5,Quico
00:00:05:300,Player5,Quico
00:00:05:367,Player4,dulceprincesa
00:00:05:367,Player4,dulceprincesa
00:00:05:467,Player5,Quico
00:00:05:467,Player5,Quico
00:00:05:500,Player8,Rick
00:00:05:500,Player8,Rick
00:00:05:533,Player9,Homero
00:00:05:533,Player9,Homero
00:00:05:600,Player4,dulceprincesa
00:00:05:600,Player4,dulceprincesa
00:00:05:700,Player6,drdoof
00:00:05:700,Player6,drdoof
00:00:05:733,Player8,Rick
00:00:05:733,Player8,Rick
00:00:05:767,Player5,Quico
00:00:05:767,Player5,Quico
00:00:05:800,Player9,Homero
00:00:05:800,Player9,Homero
00:00:05:900,Player6,drdoof
00:00:05:900,Player6,drdoof
00:00:06:067,Player8,Rick
00:00:06:067,Player8,Rick
00:00:08:833,Player9,Homero
00:00:08:833,Player9,Homero
00:00:08:900,Player8,Rick
00:00:08:900,Player8,Rick
00:00:10:733,Player9,Homero
00:00:10:733,Player9,Homero
00:00:13:600,Player8,Rick
00:00:13:600,Player8,Rick
00:00:13:900,Player9,Homero
00:00:13:900,Player9,Homero
00:00:14:300,Player5,Quico
00:00:14:300,Player5,Quico
00:00:14:400,Player8,Rick
00:00:14:400,Player8,Rick
00:00:14:433,Player1,Steven
00:00:14:433,Player1,Steven
00:00:14:467,Player8,Rick
00:00:14:467,Player8,Rick
00:00:14:967,Player9,Homero
00:00:14:967,Player9,Homero
00:00:15:633,Player8,Rick
00:00:15:633,Player8,Rick
00:00:15:667,Player9,Homero
00:00:15:667,Player9,Homero
00:00:16:967,Player8,Rick
00:00:16:967,Player8,Rick
00:00:18:067,Player1,Steven
00:00:18:067,Player1,Steven
00:00:18:133,Player8,Rick
00:00:18:133,Player8,Rick
00:00:18:767,Player5,Quico
00:00:18:767,Player5,Quico
00:00:19:033,Player1,Steven
00:00:19:033,Player1,Steven
00:00:21:033,Player7,Minion
00:00:21:033,Player7,Minion
00:00:21:233,Player8,Rick
00:00:21:233,Player8,Rick
00:00:24:300,Player9,Homero
00:00:24:300,Player9,Homero
00:00:24:633,Player7,Minion
00:00:24:633,Player7,Minion
00:00:27:700,Player9,Homero
00:00:27:700,Player9,Homero
00:00:28:300,Player7,Minion
00:00:28:300,Player7,Minion
00:00:28:567,Player9,Homero
00:00:28:567,Player9,Homero
00:00:28:833,Player7,Minion
00:00:28:833,Player7,Minion
00:00:30:667,Player1,Steven
00:00:30:667,Player1,Steven
00:00:42:133,Player9,Homero
00:00:42:133,Player9,Homero
00:00:42:600,Player1,Steven
00:00:42:600,Player1,Steven
00:00:44:000,Player9,Homero
00:00:44:000,Player9,Homero
00:00:44:167,Player1,Steven
00:00:44:167,Player1,Steven
00:00:44:233,Player4,dulceprincesa
00:00:44:233,Player4,dulceprincesa
