Time,Winner,Nickname
00:00:00:000,Player7,jake
00:00:00:000,Player7,jake
00:00:01:867,Player9,marceline
00:00:01:867,Player9,marceline
00:00:02:100,Player7,jake
00:00:02:100,Player7,jake
00:00:11:200,Player8,Shrek
00:00:11:200,Player8,Shrek
00:00:11:300,Player7,jake
00:00:11:300,Player7,jake
00:00:12:267,Player4,Rigby
00:00:12:267,Player4,Rigby
00:00:15:567,Player7,jake
00:00:15:567,Player7,jake
00:00:15:600,Player5,Patricio
00:00:15:600,Player5,Patricio
00:00:16:100,Player4,Rigby
00:00:16:100,Player4,Rigby
00:00:17:633,Player3,Gokú
00:00:17:633,Player3,Gokú
00:00:18:000,Player1,Vegeta
00:00:18:000,Player1,Vegeta
00:00:23:433,Player5,Patricio
00:00:23:433,Player5,Patricio
00:00:24:233,Player3,Gokú
00:00:24:233,Player3,Gokú
00:00:37:800,Player5,Patricio
00:00:37:800,Player5,Patricio
00:00:38:467,Player3,Gokú
00:00:38:467,Player3,Gokú
00:00:40:533,Player1,Vegeta
00:00:40:533,Player1,Vegeta
00:00:42:500,Player9,marceline
00:00:42:500,Player9,marceline
00:00:44:233,Player3,Gokú
00:00:44:233,Player3,Gokú
