Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Rick,None,None
00:00:00:000,Player7,Rick,Player8,Player8
00:00:03:033,Player9,jake,None,None
00:00:03:033,Player9,jake,Player5,Player5
00:00:03:267,Player3,Mordecai,None,None
00:00:03:267,Player3,Mordecai,Player9,jake
00:00:06:033,Player9,jake,None,None
00:00:06:033,Player9,jake,Player3,Mordecai
00:00:06:100,Player4,Quico,None,None
00:00:06:100,Player4,Quico,Player5,Player5
00:00:09:033,Player5,ReyHelado,None,None
00:00:09:033,Player5,ReyHelado,Player9,jake
00:00:09:067,Player6,Naruto,None,None
00:00:09:067,Player6,Naruto,Player3,Mordecai
00:00:09:200,Player5,ReyHelado,None,None
00:00:09:200,Player5,ReyHelado,Player4,Quico
00:00:09:433,Player9,jake,None,None
00:00:09:433,Player9,jake,Player3,Mordecai
00:00:10:133,Player6,Naruto,None,None
00:00:10:133,Player6,Naruto,Player3,Mordecai
00:00:11:900,Player9,jake,None,None
00:00:11:900,Player9,jake,Player6,Naruto
00:00:24:300,Player7,Rick,None,None
00:00:24:300,Player7,Rick,Player8,Player8
00:00:27:033,Player8,Phineas,None,None
00:00:27:033,Player8,Phineas,Player9,jake
00:00:27:500,Player4,Quico,None,None
00:00:27:500,Player4,Quico,Player8,Phineas
00:00:30:033,Player8,Phineas,None,None
00:00:30:033,Player8,Phineas,Player3,Mordecai
00:00:30:167,Player9,jake,None,None
00:00:30:167,Player9,jake,Player3,Mordecai
00:00:33:033,Player7,Rick,None,None
00:00:33:033,Player7,Rick,Player8,Phineas
00:00:34:033,Player2,Finn,None,None
00:00:34:033,Player2,Finn,Player7,Rick
00:00:36:700,Player7,Rick,None,None
00:00:36:700,Player7,Rick,Player1,Player1
00:00:36:900,Player2,Finn,None,None
00:00:36:900,Player2,Finn,Player3,Mordecai
00:00:39:200,Player7,Rick,None,None
00:00:39:200,Player7,Rick,Player1,Player1
00:00:40:400,Player2,Finn,None,None
00:00:40:400,Player2,Finn,Player7,Rick
00:00:40:833,Player7,Rick,None,None
00:00:40:833,Player7,Rick,Player1,Player1
00:00:45:367,Player2,Finn,None,None
00:00:45:367,Player2,Finn,Player7,Rick
00:00:46:500,Player7,Rick,None,None
00:00:46:500,Player7,Rick,Player3,Mordecai
00:00:52:633,Player6,Naruto,None,None
00:00:52:633,Player6,Naruto,Player7,Rick
00:00:52:733,Player7,Rick,None,None
00:00:52:733,Player7,Rick,Player6,Naruto
00:00:53:567,Player6,Naruto,None,None
00:00:53:567,Player6,Naruto,Player3,Mordecai
