Time,Winner,Nickname
00:00:00:000,Player5,Ben10
00:00:00:000,Player5,Ben10
00:00:03:033,Player4,Ben10
00:00:03:033,Player4,Ben10
00:00:03:367,Player8,Ben10
00:00:03:367,Player8,Ben10
00:00:06:033,Player4,Ben10
00:00:06:033,Player4,Ben10
00:00:06:100,Player1,Bob
00:00:06:100,Player1,Bob
00:00:06:233,Player4,Ben10
00:00:06:233,Player4,Ben10
00:00:06:300,Player7,Ben10
00:00:06:300,Player7,Ben10
00:00:09:033,Player4,Ben10
00:00:09:033,Player4,Ben10
00:00:09:100,Player2,Bob
00:00:09:100,Player2,Bob
00:00:09:167,Player4,Ben10
00:00:09:167,Player4,Ben10
00:00:09:900,Player2,Bob
00:00:09:900,Player2,Bob
00:00:11:833,Player4,Ben10
00:00:11:833,Player4,Ben10
00:00:13:833,Player2,Bob
00:00:13:833,Player2,Bob
00:00:14:100,Player4,Ben10
00:00:14:100,Player4,Ben10
00:00:20:100,Player5,Ben10
00:00:20:100,Player5,Ben10
00:00:20:200,Player4,Ben10
00:00:20:200,Player4,Ben10
00:00:24:067,Player2,Bob
00:00:24:067,Player2,Bob
00:00:24:600,Player3,Bob
00:00:24:600,Player3,Bob
00:00:24:800,Player2,Bob
00:00:24:800,Player2,Bob
00:00:27:733,Player8,Ben10
00:00:27:733,Player8,Ben10
00:00:30:033,Player6,Bob
00:00:30:033,Player6,Bob
00:00:30:767,Player3,Bob
00:00:30:767,Player3,Bob
00:00:33:033,Player2,Bob
00:00:33:033,Player2,Bob
00:00:33:200,Player6,Bob
00:00:33:200,Player6,Bob
00:00:36:867,Player8,Ben10
00:00:36:867,Player8,Ben10
00:00:36:900,Player6,Bob
00:00:36:900,Player6,Bob
00:00:46:633,Player2,Bob
00:00:46:633,Player2,Bob
00:00:47:900,Player6,Bob
00:00:47:900,Player6,Bob
00:00:51:400,Player5,Ben10
00:00:51:400,Player5,Ben10
