Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player5,jake,None,None
00:00:00:000,Player5,jake,Player6,Player6
00:00:03:033,Player7,jake,None,None
00:00:03:033,Player7,jake,Player6,Player6
00:00:03:200,Player4,marceline,None,None
00:00:03:200,Player4,marceline,Player7,jake
00:00:03:533,Player8,marceline,None,None
00:00:03:533,Player8,marceline,Player4,marceline
00:00:06:033,Player7,jake,None,None
00:00:06:033,Player7,jake,Player6,Player6
00:00:06:100,Player1,jake,None,None
00:00:06:100,Player1,jake,Player7,jake
00:00:06:200,Player7,jake,None,None
00:00:06:200,Player7,jake,Player6,Player6
00:00:09:033,Player2,marceline,None,None
00:00:09:033,Player2,marceline,Player7,jake
00:00:09:067,Player3,jake,None,None
00:00:09:067,Player3,jake,Player4,marceline
00:00:09:200,Player2,marceline,None,None
00:00:09:200,Player2,marceline,Player5,jake
00:00:09:400,Player4,marceline,None,None
00:00:09:400,Player4,marceline,Player2,marceline
00:00:09:800,Player3,jake,None,None
00:00:09:800,Player3,jake,Player4,marceline
00:00:12:167,Player2,marceline,None,None
00:00:12:167,Player2,marceline,Player3,jake
00:00:12:767,Player3,jake,None,None
00:00:12:767,Player3,jake,Player7,jake
00:00:16:133,Player2,marceline,None,None
00:00:16:133,Player2,marceline,Player3,jake
00:00:16:167,Player3,jake,None,None
00:00:16:167,Player3,jake,Player2,marceline
00:00:17:900,Player2,marceline,None,None
00:00:17:900,Player2,marceline,Player3,jake
00:00:17:967,Player3,jake,None,None
00:00:17:967,Player3,jake,Player2,marceline
00:00:19:367,Player2,marceline,None,None
00:00:19:367,Player2,marceline,Player3,jake
00:00:19:733,Player3,jake,None,None
00:00:19:733,Player3,jake,Player2,marceline
00:00:21:100,Player2,marceline,None,None
00:00:21:100,Player2,marceline,Player3,jake
00:00:21:200,Player3,jake,None,None
00:00:21:200,Player3,jake,Player2,marceline
00:00:24:100,Player2,marceline,None,None
00:00:24:100,Player2,marceline,Player3,jake
00:00:27:033,Player3,jake,None,None
00:00:27:033,Player3,jake,Player2,marceline
00:00:28:167,Player4,marceline,None,None
00:00:28:167,Player4,marceline,Player1,jake
00:00:30:033,Player8,marceline,None,None
00:00:30:033,Player8,marceline,Player5,jake
00:00:30:100,Player3,jake,None,None
00:00:30:100,Player3,jake,Player1,jake
00:00:30:200,Player5,jake,None,None
00:00:30:200,Player5,jake,Player2,marceline
00:00:33:000,Player2,marceline,None,None
00:00:33:000,Player2,marceline,Player5,jake
00:00:33:167,Player3,jake,None,None
00:00:33:167,Player3,jake,Player4,marceline
00:00:36:333,Player4,marceline,None,None
00:00:36:333,Player4,marceline,Player2,marceline
00:00:36:900,Player8,marceline,None,None
00:00:36:900,Player8,marceline,Player3,jake
00:00:37:033,Player4,marceline,None,None
00:00:37:033,Player4,marceline,Player2,marceline
00:00:37:233,Player8,marceline,None,None
00:00:37:233,Player8,marceline,Player3,jake
00:00:37:533,Player4,marceline,None,None
00:00:37:533,Player4,marceline,Player2,marceline
00:00:38:800,Player8,marceline,None,None
00:00:38:800,Player8,marceline,Player3,jake
00:00:38:933,Player4,marceline,None,None
00:00:38:933,Player4,marceline,Player2,marceline
00:00:40:067,Player8,marceline,None,None
00:00:40:067,Player8,marceline,Player3,jake
00:00:40:133,Player4,marceline,None,None
00:00:40:133,Player4,marceline,Player2,marceline
00:00:41:600,Player8,marceline,None,None
00:00:41:600,Player8,marceline,Player4,marceline
00:00:43:333,Player4,marceline,None,None
00:00:43:333,Player4,marceline,Player2,marceline
00:00:43:367,Player8,marceline,None,None
00:00:43:367,Player8,marceline,Player5,jake
00:00:46:267,Player4,marceline,None,None
00:00:46:267,Player4,marceline,Player5,jake
00:00:46:667,Player8,marceline,None,None
00:00:46:667,Player8,marceline,Player2,marceline
00:00:46:800,Player4,marceline,None,None
00:00:46:800,Player4,marceline,Player5,jake
00:00:47:100,Player8,marceline,None,None
00:00:47:100,Player8,marceline,Player1,jake
00:00:47:733,Player4,marceline,None,None
00:00:47:733,Player4,marceline,Player8,marceline
00:00:48:300,Player8,marceline,None,None
00:00:48:300,Player8,marceline,Player5,jake
00:00:49:133,Player4,marceline,None,None
00:00:49:133,Player4,marceline,Player5,jake
00:00:51:933,Player8,marceline,None,None
00:00:51:933,Player8,marceline,Player4,marceline
00:00:52:767,Player4,marceline,None,None
00:00:52:767,Player4,marceline,Player8,marceline
00:00:53:000,Player8,marceline,None,None
00:00:53:000,Player8,marceline,Player2,marceline
00:00:53:367,Player4,marceline,None,None
00:00:53:367,Player4,marceline,Player5,jake
