Time,Winner,Nickname
00:00:00:000,Player7,Finn
00:00:00:000,Player7,Finn
00:00:03:033,Player9,jake
00:00:03:033,Player9,jake
00:00:03:067,Player6,ReyHelado
00:00:03:067,Player6,ReyHelado
00:00:06:033,Player3,Darwin
00:00:06:033,Player3,Darwin
00:00:06:100,Player4,Gru
00:00:06:100,Player4,Gru
00:00:06:233,Player5,Mordecai
00:00:06:233,Player5,Mordecai
00:00:09:067,Player3,Darwin
00:00:09:067,Player3,Darwin
00:00:09:633,Player2,Shrek
00:00:09:633,Player2,Shrek
00:00:09:933,Player6,ReyHelado
00:00:09:933,Player6,ReyHelado
00:00:12:033,Player9,jake
00:00:12:033,Player9,jake
00:00:24:200,Player6,ReyHelado
00:00:24:200,Player6,ReyHelado
00:00:24:500,Player7,Finn
00:00:24:500,Player7,Finn
00:00:24:700,Player6,ReyHelado
00:00:24:700,Player6,ReyHelado
00:00:27:067,Player7,Finn
00:00:27:067,Player7,Finn
00:00:27:967,Player8,Ben10
00:00:27:967,Player8,Ben10
00:00:30:033,Player7,Finn
00:00:30:033,Player7,Finn
00:00:30:500,Player9,jake
00:00:30:500,Player9,jake
00:00:33:033,Player3,Darwin
00:00:33:033,Player3,Darwin
00:00:33:233,Player8,Ben10
00:00:33:233,Player8,Ben10
00:00:33:300,Player1,Gumball
00:00:33:300,Player1,Gumball
00:00:33:767,Player8,Ben10
00:00:33:767,Player8,Ben10
00:00:33:867,Player1,Gumball
00:00:33:867,Player1,Gumball
00:00:33:900,Player2,Shrek
00:00:33:900,Player2,Shrek
00:00:34:200,Player1,Gumball
00:00:34:200,Player1,Gumball
00:00:34:267,Player2,Shrek
00:00:34:267,Player2,Shrek
00:00:34:500,Player1,Gumball
00:00:34:500,Player1,Gumball
00:00:35:533,Player2,Shrek
00:00:35:533,Player2,Shrek
00:00:36:233,Player8,Ben10
00:00:36:233,Player8,Ben10
00:00:39:267,Player1,Gumball
00:00:39:267,Player1,Gumball
00:00:40:633,Player8,Ben10
00:00:40:633,Player8,Ben10
00:00:40:700,Player1,Gumball
00:00:40:700,Player1,Gumball
00:00:44:500,Player8,Ben10
00:00:44:500,Player8,Ben10
00:00:44:667,Player1,Gumball
00:00:44:667,Player1,Gumball
