Time,Winner,Nickname
00:00:00:000,Player7,Finn
00:00:00:000,Player7,Finn
00:00:00:600,Player8,Naruto
00:00:00:600,Player8,Naruto
00:00:02:700,Player9,Finn
00:00:02:700,Player9,Finn
00:00:03:100,Player8,Naruto
00:00:03:100,Player8,Naruto
00:00:03:467,Player9,Finn
00:00:03:467,Player9,Finn
00:00:04:400,Player5,Naruto
00:00:04:400,Player5,Naruto
00:00:04:467,Player6,Finn
00:00:04:467,Player6,Finn
00:00:04:500,Player5,Naruto
00:00:04:500,Player5,Naruto
00:00:04:567,Player9,Finn
00:00:04:567,Player9,Finn
00:00:04:600,Player8,Naruto
00:00:04:600,Player8,Naruto
00:00:04:633,Player5,Naruto
00:00:04:633,Player5,Naruto
00:00:04:667,Player8,Naruto
00:00:04:667,Player8,Naruto
00:00:04:700,Player6,Finn
00:00:04:700,Player6,Finn
00:00:04:733,Player5,Naruto
00:00:04:733,Player5,Naruto
00:00:04:767,Player8,Naruto
00:00:04:767,Player8,Naruto
00:00:04:800,Player9,Finn
00:00:04:800,Player9,Finn
00:00:04:833,Player6,Finn
00:00:04:833,Player6,Finn
00:00:04:867,Player8,Naruto
00:00:04:867,Player8,Naruto
00:00:04:900,Player9,Finn
00:00:04:900,Player9,Finn
00:00:04:967,Player6,Finn
00:00:04:967,Player6,Finn
00:00:05:000,Player9,Finn
00:00:05:000,Player9,Finn
00:00:05:100,Player5,Naruto
00:00:05:100,Player5,Naruto
00:00:05:133,Player9,Finn
00:00:05:133,Player9,Finn
00:00:05:300,Player6,Finn
00:00:05:300,Player6,Finn
00:00:05:333,Player5,Naruto
00:00:05:333,Player5,Naruto
00:00:05:367,Player9,Finn
00:00:05:367,Player9,Finn
00:00:06:267,Player6,Finn
00:00:06:267,Player6,Finn
00:00:08:367,Player5,Naruto
00:00:08:367,Player5,Naruto
00:00:08:900,Player6,Finn
00:00:08:900,Player6,Finn
00:00:09:167,Player5,Naruto
00:00:09:167,Player5,Naruto
00:00:10:000,Player6,Finn
00:00:10:000,Player6,Finn
00:00:10:100,Player5,Naruto
00:00:10:100,Player5,Naruto
00:00:13:267,Player6,Finn
00:00:13:267,Player6,Finn
00:00:13:367,Player5,Naruto
00:00:13:367,Player5,Naruto
00:00:13:700,Player6,Finn
00:00:13:700,Player6,Finn
00:00:13:800,Player5,Naruto
00:00:13:800,Player5,Naruto
00:00:13:967,Player9,Finn
00:00:13:967,Player9,Finn
00:00:15:233,Player5,Naruto
00:00:15:233,Player5,Naruto
00:00:15:367,Player9,Finn
00:00:15:367,Player9,Finn
00:00:15:567,Player5,Naruto
00:00:15:567,Player5,Naruto
00:00:15:600,Player3,Finn
00:00:15:600,Player3,Finn
00:00:15:667,Player5,Naruto
00:00:15:667,Player5,Naruto
00:00:18:400,Player9,Finn
00:00:18:400,Player9,Finn
00:00:19:467,Player6,Finn
00:00:19:467,Player6,Finn
00:00:20:667,Player9,Finn
00:00:20:667,Player9,Finn
00:00:21:033,Player6,Finn
00:00:21:033,Player6,Finn
00:00:21:733,Player3,Finn
00:00:21:733,Player3,Finn
00:00:21:967,Player4,Naruto
00:00:21:967,Player4,Naruto
00:00:25:900,Player6,Finn
00:00:25:900,Player6,Finn
00:00:28:167,Player4,Naruto
00:00:28:167,Player4,Naruto
00:00:28:600,Player6,Finn
00:00:28:600,Player6,Finn
00:00:29:500,Player5,Naruto
00:00:29:500,Player5,Naruto
00:00:30:100,Player4,Naruto
00:00:30:100,Player4,Naruto
00:00:30:133,Player5,Naruto
00:00:30:133,Player5,Naruto
00:00:36:733,Player6,Finn
00:00:36:733,Player6,Finn
00:00:37:100,Player5,Naruto
00:00:37:100,Player5,Naruto
00:00:42:167,Player3,Finn
00:00:42:167,Player3,Finn
00:00:42:300,Player4,Naruto
00:00:42:300,Player4,Naruto
00:00:43:900,Player5,Naruto
00:00:43:900,Player5,Naruto
