Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player5,marceline,None,None
00:00:00:000,Player5,marceline,Player6,Player6
00:00:03:033,Player4,Ben10,None,None
00:00:03:033,Player4,Ben10,Player8,Player8
00:00:03:333,Player8,Ben10,None,None
00:00:03:333,Player8,Ben10,Player4,Ben10
00:00:03:667,Player4,Ben10,None,None
00:00:03:667,Player4,Ben10,Player8,Ben10
00:00:04:400,Player8,Ben10,None,None
00:00:04:400,Player8,Ben10,Player4,Ben10
00:00:06:033,Player7,marceline,None,None
00:00:06:033,Player7,marceline,Player6,Player6
00:00:06:100,Player1,Ben10,None,None
00:00:06:100,Player1,Ben10,Player7,marceline
00:00:06:167,Player7,marceline,None,None
00:00:06:167,Player7,marceline,Player6,Player6
00:00:07:133,Player1,Ben10,None,None
00:00:07:133,Player1,Ben10,Player7,marceline
00:00:09:033,Player7,marceline,None,None
00:00:09:033,Player7,marceline,Player6,Player6
00:00:09:067,Player4,Ben10,None,None
00:00:09:067,Player4,Ben10,Player2,Player2
00:00:19:800,Player8,Ben10,None,None
00:00:19:800,Player8,Ben10,Player2,Player2
00:00:20:067,Player4,Ben10,None,None
00:00:20:067,Player4,Ben10,Player6,Player6
00:00:23:367,Player8,Ben10,None,None
00:00:23:367,Player8,Ben10,Player4,Ben10
00:00:23:800,Player4,Ben10,None,None
00:00:23:800,Player4,Ben10,Player8,Ben10
00:00:23:933,Player8,Ben10,None,None
00:00:23:933,Player8,Ben10,Player4,Ben10
00:00:24:033,Player4,Ben10,None,None
00:00:24:033,Player4,Ben10,Player2,Player2
00:00:24:733,Player5,marceline,None,None
00:00:24:733,Player5,marceline,Player2,Player2
00:00:27:033,Player2,marceline,None,None
00:00:27:033,Player2,marceline,Player5,marceline
00:00:27:100,Player8,Ben10,None,None
00:00:27:100,Player8,Ben10,Player2,marceline
00:00:27:767,Player3,marceline,None,None
00:00:27:767,Player3,marceline,Player1,Ben10
00:00:30:033,Player8,Ben10,None,None
00:00:30:033,Player8,Ben10,Player3,marceline
00:00:30:067,Player7,marceline,None,None
00:00:30:067,Player7,marceline,Player6,Player6
00:00:30:133,Player8,Ben10,None,None
00:00:30:133,Player8,Ben10,Player5,marceline
00:00:30:200,Player6,Ben10,None,None
00:00:30:200,Player6,Ben10,Player4,Ben10
00:00:33:033,Player2,marceline,None,None
00:00:33:033,Player2,marceline,Player3,marceline
00:00:33:100,Player5,marceline,None,None
00:00:33:100,Player5,marceline,Player8,Ben10
00:00:33:233,Player3,marceline,None,None
00:00:33:233,Player3,marceline,Player5,marceline
00:00:33:433,Player5,marceline,None,None
00:00:33:433,Player5,marceline,Player8,Ben10
00:00:33:500,Player3,marceline,None,None
00:00:33:500,Player3,marceline,Player2,marceline
00:00:37:000,Player5,marceline,None,None
00:00:37:000,Player5,marceline,Player2,marceline
00:00:37:200,Player3,marceline,None,None
00:00:37:200,Player3,marceline,Player1,Ben10
00:00:37:267,Player5,marceline,None,None
00:00:37:267,Player5,marceline,Player2,marceline
00:00:38:300,Player3,marceline,None,None
00:00:38:300,Player3,marceline,Player2,marceline
00:00:38:333,Player5,marceline,None,None
00:00:38:333,Player5,marceline,Player2,marceline
00:00:38:933,Player3,marceline,None,None
00:00:38:933,Player3,marceline,Player1,Ben10
00:00:38:967,Player5,marceline,None,None
00:00:38:967,Player5,marceline,Player2,marceline
00:00:39:000,Player3,marceline,None,None
00:00:39:000,Player3,marceline,Player1,Ben10
00:00:46:000,Player1,Ben10,None,None
00:00:46:000,Player1,Ben10,Player3,marceline
00:00:46:100,Player3,marceline,None,None
00:00:46:100,Player3,marceline,Player1,Ben10
00:00:49:900,Player1,Ben10,None,None
00:00:49:900,Player1,Ben10,Player3,marceline
00:00:49:967,Player3,marceline,None,None
00:00:49:967,Player3,marceline,Player1,Ben10
00:00:51:433,Player1,Ben10,None,None
00:00:51:433,Player1,Ben10,Player7,marceline
