Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Quico,None,None
00:00:00:000,Player7,Quico,Player8,Player8
00:00:03:033,Player9,marceline,None,None
00:00:03:033,Player9,marceline,Player3,Player3
00:00:03:600,Player3,Naruto,None,None
00:00:03:600,Player3,Naruto,Player9,marceline
00:00:06:033,Player9,marceline,None,None
00:00:06:033,Player9,marceline,Player5,Player5
00:00:06:067,Player1,Rigby,None,None
00:00:06:067,Player1,Rigby,Player7,Quico
00:00:06:233,Player9,marceline,None,None
00:00:06:233,Player9,marceline,Player5,Player5
00:00:06:567,Player1,Rigby,None,None
00:00:06:567,Player1,Rigby,Player7,Quico
00:00:06:867,Player7,Quico,None,None
00:00:06:867,Player7,Quico,Player8,Player8
00:00:06:967,Player1,Rigby,None,None
00:00:06:967,Player1,Rigby,Player7,Quico
00:00:09:033,Player8,Shrek,None,None
00:00:09:033,Player8,Shrek,Player9,marceline
00:00:09:067,Player2,Bob,None,None
00:00:09:067,Player2,Bob,Player6,Player6
00:00:09:167,Player5,Ben10,None,None
00:00:09:167,Player5,Ben10,Player8,Shrek
00:00:09:233,Player2,Bob,None,None
00:00:09:233,Player2,Bob,Player6,Player6
00:00:11:767,Player5,Ben10,None,None
00:00:11:767,Player5,Ben10,Player2,Bob
00:00:13:300,Player2,Bob,None,None
00:00:13:300,Player2,Bob,Player6,Player6
00:00:25:033,Player6,Mordecai,None,None
00:00:25:033,Player6,Mordecai,Player2,Bob
00:00:26:800,Player2,Bob,None,None
00:00:26:800,Player2,Bob,Player6,Mordecai
00:00:26:900,Player6,Mordecai,None,None
00:00:26:900,Player6,Mordecai,Player2,Bob
00:00:27:333,Player2,Bob,None,None
00:00:27:333,Player2,Bob,Player6,Mordecai
00:00:27:833,Player9,marceline,None,None
00:00:27:833,Player9,marceline,Player7,Quico
00:00:30:033,Player7,Quico,None,None
00:00:30:033,Player7,Quico,Player2,Bob
00:00:32:667,Player6,Mordecai,None,None
00:00:32:667,Player6,Mordecai,Player7,Quico
00:00:33:033,Player7,Quico,None,None
00:00:33:033,Player7,Quico,Player2,Bob
00:00:33:567,Player3,Naruto,None,None
00:00:33:567,Player3,Naruto,Player7,Quico
00:00:33:900,Player7,Quico,None,None
00:00:33:900,Player7,Quico,Player3,Naruto
00:00:34:067,Player3,Naruto,None,None
00:00:34:067,Player3,Naruto,Player7,Quico
00:00:42:167,Player9,marceline,None,None
00:00:42:167,Player9,marceline,Player3,Naruto
00:00:44:167,Player3,Naruto,None,None
00:00:44:167,Player3,Naruto,Player9,marceline
00:00:51:567,Player1,Rigby,None,None
00:00:51:567,Player1,Rigby,Player9,marceline
00:00:52:067,Player3,Naruto,None,None
00:00:52:067,Player3,Naruto,Player2,Bob
00:00:52:867,Player1,Rigby,None,None
00:00:52:867,Player1,Rigby,Player9,marceline
