Time,Winner,Nickname
00:00:00:000,Player7,Homero
00:00:00:000,Player7,Homero
00:00:03:033,Player6,Phineas
00:00:03:033,Player6,Phineas
00:00:03:267,Player3,jake
00:00:03:267,Player3,jake
00:00:03:433,Player9,Gumball
00:00:03:433,Player9,Gumball
00:00:03:800,Player3,jake
00:00:03:800,Player3,jake
00:00:04:000,Player9,Gumball
00:00:04:000,Player9,Gumball
00:00:04:300,Player3,jake
00:00:04:300,Player3,jake
00:00:06:033,Player6,Phineas
00:00:06:033,Player6,Phineas
00:00:06:067,Player1,drdoof
00:00:06:067,Player1,drdoof
00:00:06:167,Player6,Phineas
00:00:06:167,Player6,Phineas
00:00:07:567,Player1,drdoof
00:00:07:567,Player1,drdoof
00:00:09:033,Player6,Phineas
00:00:09:033,Player6,Phineas
00:00:09:067,Player5,ReyHelado
00:00:09:067,Player5,ReyHelado
00:00:09:133,Player6,Phineas
00:00:09:133,Player6,Phineas
00:00:09:300,Player2,Shrek
00:00:09:300,Player2,Shrek
00:00:13:300,Player3,jake
00:00:13:300,Player3,jake
00:00:16:167,Player1,drdoof
00:00:16:167,Player1,drdoof
00:00:16:367,Player3,jake
00:00:16:367,Player3,jake
00:00:17:367,Player1,drdoof
00:00:17:367,Player1,drdoof
00:00:18:067,Player3,jake
00:00:18:067,Player3,jake
00:00:19:567,Player1,drdoof
00:00:19:567,Player1,drdoof
00:00:19:900,Player3,jake
00:00:19:900,Player3,jake
00:00:20:600,Player1,drdoof
00:00:20:600,Player1,drdoof
00:00:24:500,Player2,Shrek
00:00:24:500,Player2,Shrek
00:00:24:867,Player3,jake
00:00:24:867,Player3,jake
00:00:25:467,Player2,Shrek
00:00:25:467,Player2,Shrek
00:00:27:167,Player1,drdoof
00:00:27:167,Player1,drdoof
00:00:27:900,Player6,Phineas
00:00:27:900,Player6,Phineas
00:00:28:033,Player5,ReyHelado
00:00:28:033,Player5,ReyHelado
00:00:30:167,Player6,Phineas
00:00:30:167,Player6,Phineas
00:00:30:200,Player7,Homero
00:00:30:200,Player7,Homero
00:00:30:300,Player3,jake
00:00:30:300,Player3,jake
00:00:30:733,Player1,drdoof
00:00:30:733,Player1,drdoof
00:00:31:233,Player3,jake
00:00:31:233,Player3,jake
00:00:33:100,Player1,drdoof
00:00:33:100,Player1,drdoof
00:00:33:667,Player5,ReyHelado
00:00:33:667,Player5,ReyHelado
00:00:33:933,Player8,Mordecai
00:00:33:933,Player8,Mordecai
00:00:42:367,Player9,Gumball
00:00:42:367,Player9,Gumball
00:00:42:400,Player8,Mordecai
00:00:42:400,Player8,Mordecai
00:00:42:467,Player9,Gumball
00:00:42:467,Player9,Gumball
00:00:46:933,Player8,Mordecai
00:00:46:933,Player8,Mordecai
00:00:47:567,Player9,Gumball
00:00:47:567,Player9,Gumball
00:00:48:600,Player8,Mordecai
00:00:48:600,Player8,Mordecai
00:00:49:467,Player9,Gumball
00:00:49:467,Player9,Gumball
