Time,Winner,Nickname
00:00:00:000,Player7,DonCangrejo
00:00:00:000,Player7,DonCangrejo
00:00:03:033,Player6,DonCangrejo
00:00:03:033,Player6,DonCangrejo
00:00:03:800,Player3,DonCangrejo
00:00:03:800,Player3,DonCangrejo
00:00:06:033,Player4,Musculoso
00:00:06:033,Player4,Musculoso
00:00:06:067,Player6,DonCangrejo
00:00:06:067,Player6,DonCangrejo
00:00:06:133,Player8,Musculoso
00:00:06:133,Player8,Musculoso
00:00:06:567,Player9,DonCangrejo
00:00:06:567,Player9,DonCangrejo
00:00:09:033,Player8,Musculoso
00:00:09:033,Player8,Musculoso
00:00:09:067,Player5,Musculoso
00:00:09:067,Player5,Musculoso
00:00:09:133,Player8,Musculoso
00:00:09:133,Player8,Musculoso
00:00:10:000,Player5,Musculoso
00:00:10:000,Player5,Musculoso
00:00:27:800,Player4,Musculoso
00:00:27:800,Player4,Musculoso
00:00:30:033,Player2,Musculoso
00:00:30:033,Player2,Musculoso
00:00:30:300,Player5,Musculoso
00:00:30:300,Player5,Musculoso
00:00:30:333,Player9,DonCangrejo
00:00:30:333,Player9,DonCangrejo
00:00:31:633,Player5,Musculoso
00:00:31:633,Player5,Musculoso
00:00:31:667,Player9,DonCangrejo
00:00:31:667,Player9,DonCangrejo
00:00:33:033,Player5,Musculoso
00:00:33:033,Player5,Musculoso
00:00:33:200,Player2,Musculoso
00:00:33:200,Player2,Musculoso
00:00:36:667,Player7,DonCangrejo
00:00:36:667,Player7,DonCangrejo
00:00:45:033,Player2,Musculoso
00:00:45:033,Player2,Musculoso
00:00:45:400,Player7,DonCangrejo
00:00:45:400,Player7,DonCangrejo
00:00:46:000,Player2,Musculoso
00:00:46:000,Player2,Musculoso
00:00:46:167,Player7,DonCangrejo
00:00:46:167,Player7,DonCangrejo
00:00:46:500,Player2,Musculoso
00:00:46:500,Player2,Musculoso
00:00:46:667,Player7,DonCangrejo
00:00:46:667,Player7,DonCangrejo
00:00:47:600,Player2,Musculoso
00:00:47:600,Player2,Musculoso
00:00:47:700,Player7,DonCangrejo
00:00:47:700,Player7,DonCangrejo
00:00:49:233,Player3,DonCangrejo
00:00:49:233,Player3,DonCangrejo
00:00:50:767,Player2,Musculoso
00:00:50:767,Player2,Musculoso
00:00:53:233,Player9,DonCangrejo
00:00:53:233,Player9,DonCangrejo
