Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player5,Quico,None,None
00:00:00:000,Player5,Quico,Player6,Player6
00:00:03:033,Player4,Mordecai,None,None
00:00:03:033,Player4,Mordecai,Player7,Player7
00:00:03:567,Player8,Finn,None,None
00:00:03:567,Player8,Finn,Player4,Mordecai
00:00:06:033,Player7,marceline,None,None
00:00:06:033,Player7,marceline,Player6,Player6
00:00:06:200,Player2,BMO,None,None
00:00:06:200,Player2,BMO,Player6,Player6
00:00:06:533,Player6,Naruto,None,None
00:00:06:533,Player6,Naruto,Player5,Quico
00:00:09:033,Player5,Quico,None,None
00:00:09:033,Player5,Quico,Player6,Naruto
00:00:09:067,Player3,Steven,None,None
00:00:09:067,Player3,Steven,Player1,Player1
00:00:09:133,Player1,Ben10,None,None
00:00:09:133,Player1,Ben10,Player5,Quico
00:00:13:367,Player5,Quico,None,None
00:00:13:367,Player5,Quico,Player1,Ben10
00:00:16:367,Player1,Ben10,None,None
00:00:16:367,Player1,Ben10,Player3,Steven
00:00:16:567,Player5,Quico,None,None
00:00:16:567,Player5,Quico,Player6,Naruto
00:00:19:400,Player1,Ben10,None,None
00:00:19:400,Player1,Ben10,Player3,Steven
00:00:19:567,Player5,Quico,None,None
00:00:19:567,Player5,Quico,Player6,Naruto
00:00:19:667,Player1,Ben10,None,None
00:00:19:667,Player1,Ben10,Player3,Steven
00:00:19:933,Player6,Naruto,None,None
00:00:19:933,Player6,Naruto,Player5,Quico
00:00:21:367,Player5,Quico,None,None
00:00:21:367,Player5,Quico,Player3,Steven
00:00:21:467,Player6,Naruto,None,None
00:00:21:467,Player6,Naruto,Player5,Quico
00:00:21:500,Player1,Ben10,None,None
00:00:21:500,Player1,Ben10,Player3,Steven
00:00:21:567,Player3,Steven,None,None
00:00:21:567,Player3,Steven,Player5,Quico
00:00:21:600,Player6,Naruto,None,None
00:00:21:600,Player6,Naruto,Player5,Quico
00:00:21:667,Player3,Steven,None,None
00:00:21:667,Player3,Steven,Player1,Ben10
00:00:22:467,Player6,Naruto,None,None
00:00:22:467,Player6,Naruto,Player4,Mordecai
00:00:23:000,Player3,Steven,None,None
00:00:23:000,Player3,Steven,Player6,Naruto
00:00:24:033,Player6,Naruto,None,None
00:00:24:033,Player6,Naruto,Player3,Steven
00:00:24:100,Player1,Ben10,None,None
00:00:24:100,Player1,Ben10,Player4,Mordecai
00:00:24:167,Player4,Mordecai,None,None
00:00:24:167,Player4,Mordecai,Player1,Ben10
00:00:24:200,Player2,BMO,None,None
00:00:24:200,Player2,BMO,Player4,Mordecai
00:00:24:267,Player4,Mordecai,None,None
00:00:24:267,Player4,Mordecai,Player1,Ben10
00:00:25:433,Player2,BMO,None,None
00:00:25:433,Player2,BMO,Player4,Mordecai
00:00:27:033,Player1,Ben10,None,None
00:00:27:033,Player1,Ben10,Player2,BMO
00:00:27:400,Player8,Finn,None,None
00:00:27:400,Player8,Finn,Player1,Ben10
00:00:28:067,Player7,marceline,None,None
00:00:28:067,Player7,marceline,Player8,Finn
00:00:30:033,Player8,Finn,None,None
00:00:30:033,Player8,Finn,Player4,Mordecai
00:00:30:067,Player5,Quico,None,None
00:00:30:067,Player5,Quico,Player3,Steven
00:00:30:200,Player2,BMO,None,None
00:00:30:200,Player2,BMO,Player8,Finn
00:00:30:233,Player5,Quico,None,None
00:00:30:233,Player5,Quico,Player3,Steven
00:00:33:033,Player2,BMO,None,None
00:00:33:033,Player2,BMO,Player5,Quico
00:00:33:167,Player1,Ben10,None,None
00:00:33:167,Player1,Ben10,Player6,Naruto
00:00:36:467,Player7,marceline,None,None
00:00:36:467,Player7,marceline,Player6,Naruto
00:00:40:100,Player1,Ben10,None,None
00:00:40:100,Player1,Ben10,Player7,marceline
00:00:40:633,Player7,marceline,None,None
00:00:40:633,Player7,marceline,Player6,Naruto
00:00:44:367,Player1,Ben10,None,None
00:00:44:367,Player1,Ben10,Player2,BMO
00:00:44:500,Player7,marceline,None,None
00:00:44:500,Player7,marceline,Player6,Naruto
00:00:45:867,Player2,BMO,None,None
00:00:45:867,Player2,BMO,Player7,marceline
00:00:47:167,Player3,Steven,None,None
00:00:47:167,Player3,Steven,Player2,BMO
00:00:51:267,Player6,Naruto,None,None
00:00:51:267,Player6,Naruto,Player3,Steven
