nickname,URL
rubius,https://www.dropbox.com/scl/fi/8ahcgy9y5rzoa8mhcbxdq/rubius.zip?rlkey=e1xh0xui5z8mlbr9rvn0fwmxt&st=5hx2tk06&dl=1
vegetta777,https://www.dropbox.com/scl/fi/yhzdpand1agawlfle0rod/vegetta777.zip?rlkey=c0kdgsbpb408g4jpxtsng5rsz&st=rffk2mk3&dl=1
taylor,https://www.dropbox.com/scl/fi/5troyqpkt4syp8dy89u6u/taylor.zip?rlkey=qsnepudsc52fpjxrxbqqjzbzv&st=kxz3c87g&dl=1
bmo,https://www.dropbox.com/scl/fi/0jeizxnvk8i3j01l6urxb/bmo.zip?rlkey=5mjdhkunfqiy3jnr4z5aizd31&st=ka8danek&dl=1
marge,https://www.dropbox.com/scl/fi/ce21hex1zkwv124pb3rcu/marge.zip?rlkey=9k8t4a9uetjdeiaogyil732i3&st=h0sg5jhj&dl=1
karolg,https://www.dropbox.com/scl/fi/c6gr8j3v9ueg65ngwboc0/karolg.zip?rlkey=dcx0uwfpia9zaz7rluzyeovxi&st=01tkdquu&dl=1
badbunny,https://www.dropbox.com/scl/fi/7lqg415rtoqfeyc7xcv2d/badbunny.zip?rlkey=vmpa95t55in3uyzuxqubxse8w&st=8ricig97&dl=1
cepillo,https://www.dropbox.com/scl/fi/5bw24gtzgoigzpeag49b4/cepillo.zip?rlkey=2gl5ra0s2ytah96tb1v892ges&st=1dkjmfz4&dl=1
ben10,https://www.dropbox.com/scl/fi/awelva3vsnyfqb9dut8c4/ben10.zip?rlkey=gmpdsq5g0cne9iwa3yt3gpomg&st=vrmy7y2p&dl=1
doncangrejo,https://www.dropbox.com/scl/fi/c70cnmxg7zczuhtfmmpxb/doncangrejo.zip?rlkey=an061cczqvc54r1otkwavcqe2&st=6jyvsgzo&dl=1
musculoso,https://www.dropbox.com/scl/fi/o0xoaj32eiu61tblttg2x/musculoso.zip?rlkey=us37psxc486xhd4axtoacqt0d&st=86x0qk5z&dl=1
rick,https://www.dropbox.com/scl/fi/jag2hk39kj40ci84szm3r/rick.zip?rlkey=phte7re6wfmhdxk4m0p7mjcgr&st=y7s3nfr8&dl=1
