Time,Winner,Nickname
00:00:00:000,Player7,Mordecai
00:00:00:000,Player7,Mordecai
00:00:00:767,Player8,ReyHelado
00:00:00:767,Player8,ReyHelado
00:00:04:100,Player6,Minion
00:00:04:100,Player6,Minion
00:00:04:133,Player8,ReyHelado
00:00:04:133,Player8,ReyHelado
00:00:04:333,Player6,Minion
00:00:04:333,Player6,Minion
00:00:04:433,Player8,ReyHelado
00:00:04:433,Player8,ReyHelado
00:00:04:467,Player6,Minion
00:00:04:467,Player6,Minion
00:00:04:500,Player1,jake
00:00:04:500,Player1,jake
00:00:04:600,Player6,Minion
00:00:04:600,Player6,Minion
00:00:04:633,Player8,ReyHelado
00:00:04:633,Player8,ReyHelado
00:00:04:667,Player6,Minion
00:00:04:667,Player6,Minion
00:00:04:700,Player1,jake
00:00:04:700,Player1,jake
00:00:04:800,Player8,ReyHelado
00:00:04:800,Player8,ReyHelado
00:00:04:833,Player1,jake
00:00:04:833,Player1,jake
00:00:04:900,Player6,Minion
00:00:04:900,Player6,Minion
00:00:04:933,Player8,ReyHelado
00:00:04:933,Player8,ReyHelado
00:00:04:967,Player1,jake
00:00:04:967,Player1,jake
00:00:05:000,Player6,Minion
00:00:05:000,Player6,Minion
00:00:05:033,Player1,jake
00:00:05:033,Player1,jake
00:00:05:100,Player6,Minion
00:00:05:100,Player6,Minion
00:00:05:200,Player1,jake
00:00:05:200,Player1,jake
00:00:05:233,Player8,ReyHelado
00:00:05:233,Player8,ReyHelado
00:00:05:300,Player6,Minion
00:00:05:300,Player6,Minion
00:00:05:333,Player1,jake
00:00:05:333,Player1,jake
00:00:05:367,Player8,ReyHelado
00:00:05:367,Player8,ReyHelado
00:00:05:500,Player3,Gumball
00:00:05:500,Player3,Gumball
00:00:05:567,Player6,Minion
00:00:05:567,Player6,Minion
00:00:05:633,Player1,jake
00:00:05:633,Player1,jake
00:00:07:133,Player6,Minion
00:00:07:133,Player6,Minion
00:00:09:500,Player1,jake
00:00:09:500,Player1,jake
00:00:12:133,Player6,Minion
00:00:12:133,Player6,Minion
00:00:12:433,Player1,jake
00:00:12:433,Player1,jake
00:00:15:400,Player4,Peter
00:00:15:400,Player4,Peter
00:00:16:533,Player1,jake
00:00:16:533,Player1,jake
00:00:18:233,Player5,Phineas
00:00:18:233,Player5,Phineas
00:00:18:600,Player7,Mordecai
00:00:18:600,Player7,Mordecai
00:00:21:033,Player5,Phineas
00:00:21:033,Player5,Phineas
00:00:21:067,Player2,Bart
00:00:21:067,Player2,Bart
00:00:21:100,Player5,Phineas
00:00:21:100,Player5,Phineas
00:00:22:100,Player2,Bart
00:00:22:100,Player2,Bart
00:00:24:100,Player5,Phineas
00:00:24:100,Player5,Phineas
00:00:24:400,Player1,jake
00:00:24:400,Player1,jake
00:00:25:500,Player5,Phineas
00:00:25:500,Player5,Phineas
00:00:25:800,Player1,jake
00:00:25:800,Player1,jake
00:00:27:933,Player5,Phineas
00:00:27:933,Player5,Phineas
00:00:35:167,Player1,jake
00:00:35:167,Player1,jake
00:00:37:000,Player4,Peter
00:00:37:000,Player4,Peter
00:00:37:267,Player5,Phineas
00:00:37:267,Player5,Phineas
00:00:42:500,Player4,Peter
00:00:42:500,Player4,Peter
00:00:42:567,Player5,Phineas
00:00:42:567,Player5,Phineas
00:00:43:667,Player4,Peter
00:00:43:667,Player4,Peter
00:00:43:733,Player5,Phineas
00:00:43:733,Player5,Phineas
00:00:43:833,Player9,Calamardo
00:00:43:833,Player9,Calamardo
00:00:48:100,Player7,Mordecai
00:00:48:100,Player7,Mordecai
00:00:48:333,Player9,Calamardo
00:00:48:333,Player9,Calamardo
00:00:49:400,Player7,Mordecai
00:00:49:400,Player7,Mordecai
00:00:52:100,Player2,Bart
00:00:52:100,Player2,Bart
00:00:52:433,Player9,Calamardo
00:00:52:433,Player9,Calamardo
