Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player5,Finn,None,None
00:00:00:000,Player5,Finn,Player6,Player6
00:00:03:033,Player4,Quico,None,None
00:00:03:033,Player4,Quico,Player7,Player7
00:00:03:600,Player8,Finn,None,None
00:00:03:600,Player8,Finn,Player4,Quico
00:00:05:000,Player4,Quico,None,None
00:00:05:000,Player4,Quico,Player8,Finn
00:00:05:800,Player8,Finn,None,None
00:00:05:800,Player8,Finn,Player3,Player3
00:00:06:033,Player4,Quico,None,None
00:00:06:033,Player4,Quico,Player7,Player7
00:00:06:067,Player2,Quico,None,None
00:00:06:067,Player2,Quico,Player5,Finn
00:00:06:133,Player4,Quico,None,None
00:00:06:133,Player4,Quico,Player7,Player7
00:00:06:533,Player5,Finn,None,None
00:00:06:533,Player5,Finn,Player4,Quico
00:00:06:933,Player2,Quico,None,None
00:00:06:933,Player2,Quico,Player5,Finn
00:00:09:033,Player4,Quico,None,None
00:00:09:033,Player4,Quico,Player8,Finn
00:00:09:667,Player3,Finn,None,None
00:00:09:667,Player3,Finn,Player1,Player1
00:00:10:000,Player4,Quico,None,None
00:00:10:000,Player4,Quico,Player3,Finn
00:00:10:500,Player3,Finn,None,None
00:00:10:500,Player3,Finn,Player1,Player1
00:00:20:133,Player4,Quico,None,None
00:00:20:133,Player4,Quico,Player3,Finn
00:00:20:467,Player8,Finn,None,None
00:00:20:467,Player8,Finn,Player3,Finn
00:00:24:633,Player4,Quico,None,None
00:00:24:633,Player4,Quico,Player8,Finn
00:00:27:067,Player8,Finn,None,None
00:00:27:067,Player8,Finn,Player3,Finn
00:00:27:600,Player7,Quico,None,None
00:00:27:600,Player7,Quico,Player8,Finn
00:00:28:167,Player2,Quico,None,None
00:00:28:167,Player2,Quico,Player8,Finn
00:00:28:267,Player7,Quico,None,None
00:00:28:267,Player7,Quico,Player2,Quico
00:00:30:033,Player8,Finn,None,None
00:00:30:033,Player8,Finn,Player3,Finn
00:00:30:733,Player3,Finn,None,None
00:00:30:733,Player3,Finn,Player8,Finn
00:00:30:833,Player1,Finn,None,None
00:00:30:833,Player1,Finn,Player3,Finn
00:00:33:033,Player3,Finn,None,None
00:00:33:033,Player3,Finn,Player8,Finn
00:00:33:300,Player5,Finn,None,None
00:00:33:300,Player5,Finn,Player2,Quico
00:00:34:200,Player2,Quico,None,None
00:00:34:200,Player2,Quico,Player5,Finn
00:00:35:967,Player5,Finn,None,None
00:00:35:967,Player5,Finn,Player7,Quico
00:00:36:167,Player7,Quico,None,None
00:00:36:167,Player7,Quico,Player3,Finn
00:00:43:800,Player2,Quico,None,None
00:00:43:800,Player2,Quico,Player7,Quico
00:00:50:200,Player3,Finn,None,None
00:00:50:200,Player3,Finn,Player2,Quico
00:00:51:433,Player7,Quico,None,None
00:00:51:433,Player7,Quico,Player3,Finn
00:00:51:667,Player3,Finn,None,None
00:00:51:667,Player3,Finn,Player2,Quico
00:00:52:867,Player2,Quico,None,None
00:00:52:867,Player2,Quico,Player3,Finn
