Time,Winner,Nickname
00:00:00:000,Player7,Dipper
00:00:00:000,Player7,Dipper
00:00:00:700,Player8,Luisito
00:00:00:700,Player8,Luisito
00:00:03:533,Player9,Rayo
00:00:03:533,Player9,Rayo
00:00:04:000,Player4,Cartman
00:00:04:000,Player4,Cartman
00:00:04:033,Player9,Rayo
00:00:04:033,Player9,Rayo
00:00:04:133,Player8,Luisito
00:00:04:133,Player8,Luisito
00:00:04:167,Player9,Rayo
00:00:04:167,Player9,Rayo
00:00:04:433,Player6,Gru
00:00:04:433,Player6,Gru
00:00:04:467,Player9,Rayo
00:00:04:467,Player9,Rayo
00:00:04:533,Player6,Gru
00:00:04:533,Player6,Gru
00:00:04:567,Player9,Rayo
00:00:04:567,Player9,Rayo
00:00:04:633,Player5,Minion
00:00:04:633,Player5,Minion
00:00:04:667,Player9,Rayo
00:00:04:667,Player9,Rayo
00:00:04:700,Player6,Gru
00:00:04:700,Player6,Gru
00:00:04:833,Player9,Rayo
00:00:04:833,Player9,Rayo
00:00:04:900,Player6,Gru
00:00:04:900,Player6,Gru
00:00:05:200,Player8,Luisito
00:00:05:200,Player8,Luisito
00:00:05:267,Player9,Rayo
00:00:05:267,Player9,Rayo
00:00:06:267,Player5,Minion
00:00:06:267,Player5,Minion
00:00:06:467,Player9,Rayo
00:00:06:467,Player9,Rayo
00:00:06:933,Player5,Minion
00:00:06:933,Player5,Minion
00:00:07:400,Player9,Rayo
00:00:07:400,Player9,Rayo
00:00:08:433,Player5,Minion
00:00:08:433,Player5,Minion
00:00:09:600,Player9,Rayo
00:00:09:600,Player9,Rayo
00:00:12:433,Player5,Minion
00:00:12:433,Player5,Minion
00:00:12:833,Player9,Rayo
00:00:12:833,Player9,Rayo
00:00:13:167,Player6,Gru
00:00:13:167,Player6,Gru
00:00:13:200,Player5,Minion
00:00:13:200,Player5,Minion
00:00:13:333,Player9,Rayo
00:00:13:333,Player9,Rayo
00:00:13:933,Player5,Minion
00:00:13:933,Player5,Minion
00:00:18:067,Player4,Cartman
00:00:18:067,Player4,Cartman
00:00:18:100,Player9,Rayo
00:00:18:100,Player9,Rayo
00:00:21:033,Player1,Peter
00:00:21:033,Player1,Peter
00:00:21:067,Player6,Gru
00:00:21:067,Player6,Gru
00:00:21:167,Player1,Peter
00:00:21:167,Player1,Peter
00:00:21:400,Player4,Cartman
00:00:21:400,Player4,Cartman
00:00:22:300,Player6,Gru
00:00:22:300,Player6,Gru
00:00:26:567,Player4,Cartman
00:00:26:567,Player4,Cartman
00:00:27:300,Player6,Gru
00:00:27:300,Player6,Gru
00:00:27:867,Player4,Cartman
00:00:27:867,Player4,Cartman
00:00:29:400,Player5,Minion
00:00:29:400,Player5,Minion
00:00:30:000,Player4,Cartman
00:00:30:000,Player4,Cartman
00:00:32:000,Player5,Minion
00:00:32:000,Player5,Minion
00:00:35:867,Player6,Gru
00:00:35:867,Player6,Gru
00:00:49:267,Player7,Dipper
00:00:49:267,Player7,Dipper
