Time,Winner,Nickname
00:00:00:000,Player7,Homero
00:00:00:000,Player7,Homero
00:00:00:800,Player8,Dipper
00:00:00:800,Player8,Dipper
00:00:03:833,Player9,ReyHelado
00:00:03:833,Player9,ReyHelado
00:00:04:067,Player3,Phineas
00:00:04:067,Player3,Phineas
00:00:04:700,Player9,ReyHelado
00:00:04:700,Player9,ReyHelado
00:00:04:733,Player2,Darwin
00:00:04:733,Player2,Darwin
00:00:04:767,Player3,Phineas
00:00:04:767,Player3,Phineas
00:00:04:800,Player2,Darwin
00:00:04:800,Player2,Darwin
00:00:04:833,Player9,ReyHelado
00:00:04:833,Player9,ReyHelado
00:00:04:900,Player3,Phineas
00:00:04:900,Player3,Phineas
00:00:04:933,Player2,Darwin
00:00:04:933,Player2,Darwin
00:00:05:000,Player3,Phineas
00:00:05:000,Player3,Phineas
00:00:05:067,Player9,ReyHelado
00:00:05:067,Player9,ReyHelado
00:00:05:100,Player3,Phineas
00:00:05:100,Player3,Phineas
00:00:06:467,Player2,Darwin
00:00:06:467,Player2,Darwin
00:00:07:000,Player3,Phineas
00:00:07:000,Player3,Phineas
00:00:07:167,Player2,Darwin
00:00:07:167,Player2,Darwin
00:00:07:500,Player3,Phineas
00:00:07:500,Player3,Phineas
00:00:07:700,Player2,Darwin
00:00:07:700,Player2,Darwin
00:00:08:367,Player3,Phineas
00:00:08:367,Player3,Phineas
00:00:11:900,Player9,ReyHelado
00:00:11:900,Player9,ReyHelado
00:00:12:500,Player3,Phineas
00:00:12:500,Player3,Phineas
00:00:12:633,Player9,ReyHelado
00:00:12:633,Player9,ReyHelado
00:00:12:733,Player5,marceline
00:00:12:733,Player5,marceline
00:00:13:100,Player9,ReyHelado
00:00:13:100,Player9,ReyHelado
00:00:14:167,Player2,Darwin
00:00:14:167,Player2,Darwin
00:00:14:200,Player5,marceline
00:00:14:200,Player5,marceline
00:00:15:100,Player2,Darwin
00:00:15:100,Player2,Darwin
00:00:15:200,Player5,marceline
00:00:15:200,Player5,marceline
00:00:15:233,Player2,Darwin
00:00:15:233,Player2,Darwin
00:00:18:100,Player3,Phineas
00:00:18:100,Player3,Phineas
00:00:18:433,Player5,marceline
00:00:18:433,Player5,marceline
00:00:21:033,Player1,Peter
00:00:21:033,Player1,Peter
00:00:21:433,Player9,ReyHelado
00:00:21:433,Player9,ReyHelado
00:00:25:433,Player1,Peter
00:00:25:433,Player1,Peter
00:00:25:733,Player9,ReyHelado
00:00:25:733,Player9,ReyHelado
00:00:26:567,Player1,Peter
00:00:26:567,Player1,Peter
00:00:29:933,Player9,ReyHelado
00:00:29:933,Player9,ReyHelado
00:00:30:133,Player1,Peter
00:00:30:133,Player1,Peter
00:00:30:300,Player9,ReyHelado
00:00:30:300,Player9,ReyHelado
00:00:34:900,Player1,Peter
00:00:34:900,Player1,Peter
00:00:38:100,Player2,Darwin
00:00:38:100,Player2,Darwin
00:00:39:233,Player3,Phineas
00:00:39:233,Player3,Phineas
00:00:40:033,Player4,Rayo
00:00:40:033,Player4,Rayo
00:00:41:600,Player3,Phineas
00:00:41:600,Player3,Phineas
00:00:42:100,Player4,Rayo
00:00:42:100,Player4,Rayo
00:00:48:400,Player3,Phineas
00:00:48:400,Player3,Phineas
