Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,ReyHelado,None,None
00:00:00:000,Player7,ReyHelado,Player8,Player8
00:00:03:033,Player9,Rigby,None,None
00:00:03:033,Player9,Rigby,Player8,Player8
00:00:03:067,Player3,Darwin,None,None
00:00:03:067,Player3,Darwin,Player6,Player6
00:00:06:000,Player2,Naruto,None,None
00:00:06:000,Player2,Naruto,Player3,Darwin
00:00:06:100,Player4,Bob,None,None
00:00:06:100,Player4,Bob,Player9,Rigby
00:00:06:233,Player9,Rigby,None,None
00:00:06:233,Player9,Rigby,Player8,Player8
00:00:09:033,Player8,Bart,None,None
00:00:09:033,Player8,Bart,Player4,Bob
00:00:09:067,Player5,jake,None,None
00:00:09:067,Player5,jake,Player1,Player1
00:00:13:767,Player2,Naruto,None,None
00:00:13:767,Player2,Naruto,Player3,Darwin
00:00:13:867,Player5,jake,None,None
00:00:13:867,Player5,jake,Player1,Player1
00:00:16:533,Player1,Homero,None,None
00:00:16:533,Player1,Homero,Player5,jake
00:00:19:800,Player2,Naruto,None,None
00:00:19:800,Player2,Naruto,Player3,Darwin
00:00:20:000,Player1,Homero,None,None
00:00:20:000,Player1,Homero,Player5,jake
00:00:24:067,Player3,Darwin,None,None
00:00:24:067,Player3,Darwin,Player5,jake
00:00:24:267,Player2,Naruto,None,None
00:00:24:267,Player2,Naruto,Player1,Homero
00:00:24:300,Player5,jake,None,None
00:00:24:300,Player5,jake,Player8,Bart
00:00:24:600,Player3,Darwin,None,None
00:00:24:600,Player3,Darwin,Player5,jake
00:00:25:500,Player5,jake,None,None
00:00:25:500,Player5,jake,Player3,Darwin
00:00:26:900,Player3,Darwin,None,None
00:00:26:900,Player3,Darwin,Player8,Bart
00:00:27:033,Player5,jake,None,None
00:00:27:033,Player5,jake,Player3,Darwin
00:00:28:067,Player4,Bob,None,None
00:00:28:067,Player4,Bob,Player6,Player6
00:00:30:033,Player5,jake,None,None
00:00:30:033,Player5,jake,Player2,Naruto
00:00:30:767,Player8,Bart,None,None
00:00:30:767,Player8,Bart,Player3,Darwin
00:00:33:133,Player5,jake,None,None
00:00:33:133,Player5,jake,Player4,Bob
00:00:33:900,Player6,Finn,None,None
00:00:33:900,Player6,Finn,Player4,Bob
00:00:34:067,Player4,Bob,None,None
00:00:34:067,Player4,Bob,Player6,Finn
00:00:34:600,Player6,Finn,None,None
00:00:34:600,Player6,Finn,Player4,Bob
00:00:36:033,Player5,jake,None,None
00:00:36:033,Player5,jake,Player4,Bob
00:00:36:167,Player4,Bob,None,None
00:00:36:167,Player4,Bob,Player5,jake
00:00:36:467,Player5,jake,None,None
00:00:36:467,Player5,jake,Player6,Finn
00:00:37:333,Player4,Bob,None,None
00:00:37:333,Player4,Bob,Player1,Homero
00:00:37:833,Player5,jake,None,None
00:00:37:833,Player5,jake,Player4,Bob
00:00:38:067,Player4,Bob,None,None
00:00:38:067,Player4,Bob,Player1,Homero
00:00:38:467,Player5,jake,None,None
00:00:38:467,Player5,jake,Player6,Finn
00:00:38:700,Player4,Bob,None,None
00:00:38:700,Player4,Bob,Player2,Naruto
00:00:38:833,Player5,jake,None,None
00:00:38:833,Player5,jake,Player6,Finn
00:00:39:900,Player4,Bob,None,None
00:00:39:900,Player4,Bob,Player5,jake
00:00:40:000,Player5,jake,None,None
00:00:40:000,Player5,jake,Player6,Finn
00:00:40:800,Player4,Bob,None,None
00:00:40:800,Player4,Bob,Player2,Naruto
00:00:40:867,Player5,jake,None,None
00:00:40:867,Player5,jake,Player6,Finn
00:00:42:300,Player4,Bob,None,None
00:00:42:300,Player4,Bob,Player5,jake
00:00:42:333,Player5,jake,None,None
00:00:42:333,Player5,jake,Player4,Bob
00:00:43:767,Player4,Bob,None,None
00:00:43:767,Player4,Bob,Player5,jake
00:00:44:300,Player5,jake,None,None
00:00:44:300,Player5,jake,Player6,Finn
00:00:45:467,Player4,Bob,None,None
00:00:45:467,Player4,Bob,Player5,jake
00:00:46:500,Player6,Finn,None,None
00:00:46:500,Player6,Finn,Player5,jake
00:00:49:867,Player5,jake,None,None
00:00:49:867,Player5,jake,Player4,Bob
