Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,Ben10,None,None
00:00:00:000,Player7,Ben10,Player8,Player8
00:00:03:033,Player2,DonCangrejo,None,None
00:00:03:033,Player2,DonCangrejo,Player5,Player5
00:00:03:400,Player9,marceline,None,None
00:00:03:400,Player9,marceline,Player2,DonCangrejo
00:00:06:033,Player3,Minion,None,None
00:00:06:033,Player3,Minion,Player5,Player5
00:00:06:100,Player4,Rick,None,None
00:00:06:100,Player4,Rick,Player2,DonCangrejo
00:00:06:233,Player3,Minion,None,None
00:00:06:233,Player3,Minion,Player5,Player5
00:00:06:267,Player2,DonCangrejo,None,None
00:00:06:267,Player2,DonCangrejo,Player3,Minion
00:00:07:133,Player4,Rick,None,None
00:00:07:133,Player4,Rick,Player2,DonCangrejo
00:00:08:967,Player2,DonCangrejo,None,None
00:00:08:967,Player2,DonCangrejo,Player5,Player5
00:00:09:033,Player4,Rick,None,None
00:00:09:033,Player4,Rick,Player2,DonCangrejo
00:00:09:567,Player3,Minion,None,None
00:00:09:567,Player3,Minion,Player8,Player8
00:00:10:000,Player7,Ben10,None,None
00:00:10:000,Player7,Ben10,Player3,Minion
00:00:17:267,Player3,Minion,None,None
00:00:17:267,Player3,Minion,Player5,Player5
00:00:17:900,Player7,Ben10,None,None
00:00:17:900,Player7,Ben10,Player3,Minion
00:00:18:600,Player3,Minion,None,None
00:00:18:600,Player3,Minion,Player5,Player5
00:00:18:633,Player7,Ben10,None,None
00:00:18:633,Player7,Ben10,Player8,Player8
00:00:18:767,Player3,Minion,None,None
00:00:18:767,Player3,Minion,Player5,Player5
00:00:19:333,Player7,Ben10,None,None
00:00:19:333,Player7,Ben10,Player3,Minion
00:00:19:433,Player3,Minion,None,None
00:00:19:433,Player3,Minion,Player5,Player5
00:00:20:033,Player8,Musculoso,None,None
00:00:20:033,Player8,Musculoso,Player7,Ben10
00:00:20:200,Player3,Minion,None,None
00:00:20:200,Player3,Minion,Player5,Player5
00:00:20:500,Player7,Ben10,None,None
00:00:20:500,Player7,Ben10,Player5,Player5
00:00:23:033,Player3,Minion,None,None
00:00:23:033,Player3,Minion,Player7,Ben10
00:00:24:067,Player2,DonCangrejo,None,None
00:00:24:067,Player2,DonCangrejo,Player3,Minion
00:00:24:100,Player3,Minion,None,None
00:00:24:100,Player3,Minion,Player2,DonCangrejo
00:00:24:167,Player2,DonCangrejo,None,None
00:00:24:167,Player2,DonCangrejo,Player3,Minion
00:00:24:300,Player5,Phineas,None,None
00:00:24:300,Player5,Phineas,Player2,DonCangrejo
00:00:24:400,Player6,Rayo,None,None
00:00:24:400,Player6,Rayo,Player8,Musculoso
00:00:24:600,Player8,Musculoso,None,None
00:00:24:600,Player8,Musculoso,Player5,Phineas
00:00:27:000,Player5,Phineas,None,None
00:00:27:000,Player5,Phineas,Player8,Musculoso
00:00:27:733,Player3,Minion,None,None
00:00:27:733,Player3,Minion,Player2,DonCangrejo
00:00:28:033,Player7,Ben10,None,None
00:00:28:033,Player7,Ben10,Player3,Minion
00:00:30:033,Player2,DonCangrejo,None,None
00:00:30:033,Player2,DonCangrejo,Player7,Ben10
00:00:30:700,Player6,Rayo,None,None
00:00:30:700,Player6,Rayo,Player8,Musculoso
00:00:30:767,Player8,Musculoso,None,None
00:00:30:767,Player8,Musculoso,Player2,DonCangrejo
00:00:30:833,Player6,Rayo,None,None
00:00:30:833,Player6,Rayo,Player8,Musculoso
00:00:33:033,Player2,DonCangrejo,None,None
00:00:33:033,Player2,DonCangrejo,Player6,Rayo
00:00:33:100,Player9,marceline,None,None
00:00:33:100,Player9,marceline,Player4,Rick
00:00:33:300,Player4,Rick,None,None
00:00:33:300,Player4,Rick,Player9,marceline
00:00:35:633,Player7,Ben10,None,None
00:00:35:633,Player7,Ben10,Player4,Rick
