Time,Winner,Nickname,SecondPlace,SecondNickname
00:00:00:000,Player7,BMO,None,None
00:00:00:000,Player7,BMO,Player8,Player8
00:00:03:033,Player9,DonCangrejo,None,None
00:00:03:033,Player9,DonCangrejo,Player6,Player6
00:00:03:333,Player3,marceline,None,None
00:00:03:333,Player3,marceline,Player6,Player6
00:00:06:033,Player6,dulceprincesa,None,None
00:00:06:033,Player6,dulceprincesa,Player5,Player5
00:00:06:067,Player4,Mordecai,None,None
00:00:06:067,Player4,Mordecai,Player5,Player5
00:00:06:167,Player6,dulceprincesa,None,None
00:00:06:167,Player6,dulceprincesa,Player5,Player5
00:00:06:933,Player5,Gokú,None,None
00:00:06:933,Player5,Gokú,Player6,dulceprincesa
00:00:09:033,Player6,dulceprincesa,None,None
00:00:09:033,Player6,dulceprincesa,Player8,Player8
00:00:09:367,Player9,DonCangrejo,None,None
00:00:09:367,Player9,DonCangrejo,Player6,dulceprincesa
00:00:09:533,Player1,Ben10,None,None
00:00:09:533,Player1,Ben10,Player9,DonCangrejo
00:00:10:000,Player9,DonCangrejo,None,None
00:00:10:000,Player9,DonCangrejo,Player3,marceline
00:00:11:567,Player3,marceline,None,None
00:00:11:567,Player3,marceline,Player6,dulceprincesa
00:00:16:433,Player6,dulceprincesa,None,None
00:00:16:433,Player6,dulceprincesa,Player9,DonCangrejo
00:00:17:600,Player3,marceline,None,None
00:00:17:600,Player3,marceline,Player6,dulceprincesa
00:00:17:833,Player6,dulceprincesa,None,None
00:00:17:833,Player6,dulceprincesa,Player9,DonCangrejo
00:00:19:033,Player3,marceline,None,None
00:00:19:033,Player3,marceline,Player6,dulceprincesa
00:00:19:367,Player9,DonCangrejo,None,None
00:00:19:367,Player9,DonCangrejo,Player6,dulceprincesa
00:00:19:600,Player6,dulceprincesa,None,None
00:00:19:600,Player6,dulceprincesa,Player9,DonCangrejo
00:00:20:200,Player3,marceline,None,None
00:00:20:200,Player3,marceline,Player9,DonCangrejo
00:00:20:567,Player6,dulceprincesa,None,None
00:00:20:567,Player6,dulceprincesa,Player8,Player8
00:00:21:333,Player3,marceline,None,None
00:00:21:333,Player3,marceline,Player2,Player2
00:00:21:400,Player6,dulceprincesa,None,None
00:00:21:400,Player6,dulceprincesa,Player9,DonCangrejo
00:00:23:200,Player3,marceline,None,None
00:00:23:200,Player3,marceline,Player6,dulceprincesa
00:00:23:833,Player9,DonCangrejo,None,None
00:00:23:833,Player9,DonCangrejo,Player6,dulceprincesa
00:00:24:000,Player3,marceline,None,None
00:00:24:000,Player3,marceline,Player2,Player2
00:00:24:067,Player6,dulceprincesa,None,None
00:00:24:067,Player6,dulceprincesa,Player8,Player8
00:00:24:133,Player8,Rigby,None,None
00:00:24:133,Player8,Rigby,Player6,dulceprincesa
00:00:24:300,Player6,dulceprincesa,None,None
00:00:24:300,Player6,dulceprincesa,Player3,marceline
00:00:24:667,Player9,DonCangrejo,None,None
00:00:24:667,Player9,DonCangrejo,Player8,Rigby
00:00:27:033,Player6,dulceprincesa,None,None
00:00:27:033,Player6,dulceprincesa,Player3,marceline
00:00:27:900,Player2,drdoof,None,None
00:00:27:900,Player2,drdoof,Player6,dulceprincesa
00:00:30:033,Player6,dulceprincesa,None,None
00:00:30:033,Player6,dulceprincesa,Player2,drdoof
00:00:30:233,Player3,marceline,None,None
00:00:30:233,Player3,marceline,Player6,dulceprincesa
00:00:30:667,Player8,Rigby,None,None
00:00:30:667,Player8,Rigby,Player3,marceline
00:00:30:967,Player3,marceline,None,None
00:00:30:967,Player3,marceline,Player9,DonCangrejo
00:00:33:133,Player4,Mordecai,None,None
00:00:33:133,Player4,Mordecai,Player6,dulceprincesa
00:00:33:267,Player1,Ben10,None,None
00:00:33:267,Player1,Ben10,Player6,dulceprincesa
00:00:33:767,Player4,Mordecai,None,None
00:00:33:767,Player4,Mordecai,Player6,dulceprincesa
00:00:35:633,Player1,Ben10,None,None
00:00:35:633,Player1,Ben10,Player4,Mordecai
00:00:42:233,Player4,Mordecai,None,None
00:00:42:233,Player4,Mordecai,Player1,Ben10
00:00:43:967,Player1,Ben10,None,None
00:00:43:967,Player1,Ben10,Player4,Mordecai
00:00:45:900,Player4,Mordecai,None,None
00:00:45:900,Player4,Mordecai,Player6,dulceprincesa
00:00:46:133,Player1,Ben10,None,None
00:00:46:133,Player1,Ben10,Player6,dulceprincesa
00:00:46:767,Player4,Mordecai,None,None
00:00:46:767,Player4,Mordecai,Player1,Ben10
00:00:47:133,Player1,Ben10,None,None
00:00:47:133,Player1,Ben10,Player4,Mordecai
00:00:48:200,Player4,Mordecai,None,None
00:00:48:200,Player4,Mordecai,Player8,Rigby
00:00:48:633,Player1,Ben10,None,None
00:00:48:633,Player1,Ben10,Player6,dulceprincesa
00:00:49:267,Player6,dulceprincesa,None,None
00:00:49:267,Player6,dulceprincesa,Player1,Ben10
